pageid,group,all_members,genres,intro_text
344297,Balstyrko,"['Ane Trolle', 'Blæs Bukki', 'Ormen']","['pop', 'indie rock', 'hip hop', 'dancehall']","<p><b>Balstyrko</b> er en dansk musikgruppe bestående af Blæs Bukki (Lasse Bavngaard, sanger, co-producer), Ane Trolle (sangerinde) samt Ormen (Anders Christophersen, musikproducer). Gruppen blev dannet i 2007. Deres første plade <i>Jagten Paa Noget</i>, der tog tre år at lave, udkom 3. marts 2009 og blev modtaget positivt. Som forløber for albummet blev deres single ""Intet Stopper Helt"" udgivet 12. januar 2009. Gruppen har valgt emner som fællesskab, død, ensomhed og lign. til deres musik. 
</p><p>Gruppen har opnået stor populartitet siden den spillede på Store Vega, hvor billetsalget gik strygende. Gruppen spillede også på Roskilde Festival 2009.
</p><p>De tre medlemmer har alle haft indflydelse på musik før de dannede gruppen. Blæs Bukki har været med i producerteamet Madness 4 Real, hiphopgrupperne Den Gale Pose og Malk De Koijn og senest den første dansksprogede dancehall-gruppe Bikstok Røgsystem. Ane Trolle er kendt fra duoerne JaConfetti og Trolle//Siebenhaar samt sit samarbejde med Anders Trentemøller. Ormen er mindst kendt af de tre, men også han har haft indflydelse på dansk musik ved bl.a. at være en del af et af Danmarks indie-pladeselskaber, Fake Diamond Records, som også udgiver Balstyrkos <i>Jagten Paa Noget</i>. Han har desuden remixet en del kunstnere og har også lavet musik med den danske sangerinde Alberte under navnet Ormen og Alberte og har været en del af elektroduoen Melk. Ormen og Blæs Bukki har før samarbejdet, da de lavede musikken til SkRaKo-stykket Købmanden.
</p><p>Musikken fra deres album <i>Jagten Paa Noget</i> er blevet brugt i DR2s program <i>Nak &amp; Æd</i> med jægeren Jørgen Skouboe og kokken Nikolaj Kirk. Programmet havde premiere i 2010 og der er siden lavet flere sæsoner.
Sangen ""Ravn"" er blevet brugt i en anden DR-produktion nemlig <i>Bonderøven</i> med Frank Erichsen.
</p>"
964321,Bandjo,"['Fredrik Johansson (10)', 'Jacob Haage']",['eurovision pop'],"<p><b>Bandjo</b> var et dansk band, der bestod af guitaristerne Helge Engelbrecht, Peter Stub og Anders Tind, keyboardspilleren Brian Thomsen og trommeslageren Carsten Kolster. Sammen med sangerinden Anne Herdorf repræsenterede de Danmark ved Eurovision Song Contest 1987, med sangen <i>""En lille melodi""</i> der endte på en sjetteplads.
</p>"
411296,Basix,"['Anders Ørsager', 'Christoffer Brodersen', 'Jakob Hejlesen', 'John Kjøller', 'Morten Kjær', 'Morten Sønderby', 'Niels Nørgaard', 'Osman Kingo', 'Peter Bach', 'Thomas Laursen', 'Toke Wulf']",['choral'],"<p><b>Basix</b> var en dansk a cappella-musikgruppe, der eksisterede fra 1996 til 2017. Gruppen bestod ved afslutningen i 2017 af Morten Sønderby (2014-17), Anders Ørsager (2004-17), Niels Nørgaard (1996-2017), John Kjøller (1996-2017), Peter Bach (1997-2017) og Toke Wulf (2003-17). Tidligere har også Morten Kjær (1996-2003), Jakob Hejlesen (1996-2007), Osman Kingo (2001-03), Christoffer Brodersen (2007-13) og Thomas Laursen (1996-2001) sunget i sekstetten. 
</p>"
119589,Bazaar (band),"['Anders Koppel', 'Flemming Quist Møller', 'Mehmet Ozan', 'Peter Bastian']","['jazz', 'folk', 'world']","<dl><dd><span typeof=""mw:File""><span></span></span><i> For alternative betydninger, se Bazaar.</i> <small>(Se også artikler, som begynder med Bazaar)</small></dd></dl>

<p><b>Bazaar</b> var et dansk orkester. Deres musik indeholdt improvisation og er blevet klassificeret som verdensmusik, folkemusik og jazz.
</p><p>Orkestret spillede sin sidste koncert i juli 2012 og blev derefter opløst.
</p>"
918070,BengtssonSydow,"['Hans Sydow', 'Ulle Bjørn Bengtsson']",['sound art'],"<p><b>BengtssonSydow</b> (BS) er en musik-duo der arbejder med konceptualiserede musikalske og auditive fortolkninger af poesi, digte og litteratur. Duoen består af sanger, komponist og producer Ulle Bjørn Bengtsson (aka Ulyd) og lydkunstner, komponist og producer Hans Sydow, med skiftende besætninger omkring sig. BengtssonSydow er kendt for deres idiosynkratiske kompositioner og genreblandinger.
</p>"
47048,Bersærk,"['Bastian Popp', 'Casper Roland Popp', 'Jens Moss Thorsen', 'Lars Evers', 'Mads Fjeldvig', 'Rene Holmboe', 'Simon Gleerup Meiner', 'Torben Egebjerg']","['rock', 'heavy metal']","<dl><dd><span typeof=""mw:File""><span></span></span><i> Denne artikel omhandler rockbandet Bersærk. Opslagsordet har også en anden betydning, se Bersærkergang.</i></dd></dl>

<p><b>Bersærk</b> er et dansksproget Heavy Metal-band fra 2012, der har base i Aarhus. Bandet består af Lars Evers (guitar), Simon Gleerup Meiner (trommer) og Jens Moss Thorsen (Sang og bas).
</p><p>Bersærks debutalbum <i>Mulm</i>  udkom den 29. oktober 2015  og fik gode anmeldelser. Det blev bl.a. nomineret i kategorien Årets Danske Rockudgivelse ved High Voltage Rock Awards 2016.
</p><p>Bersærk  har spillet på blandt andet Roskilde Festival i 2016 og på Copenhell i 2016 og 2018. Tidligere har Bersærk spillet support for blandt andre Red Fang <sup>(<span title='""Red Fang"" på engelsk Wikipedia'>en</span>)</sup>, Eyehategod <sup>(<span title='""Eyehategod"" på engelsk Wikipedia'>en</span>)</sup>, Monster_Magnet <sup>(<span title='""Monster_Magnet"" på engelsk Wikipedia'>en</span>)</sup> samt danske Helhorse og Dizzy Mizz Lizzy.
</p>"
89426,Bikstok,"['Blæs Bukki', 'EaggerStunn', 'Pharfar']",['dancehall'],"<p><b>Bikstok</b> eller <b>Bikstok Røgsystem</b>  er den første dansksprogede dancehallgruppe bestående af Eagger, Pharfar og Blæs Bukki. Bandet er mest kendt for deres hit ""Cigar"" fra 2005.. Deres debutalbum <i>Over stok og sten</i> fik meget gode anmeldelser, og de har også fået positive anmeldelser af livekoncerter. I 2006 blev gruppen opløst. Sidenhen har de været samlet flere gange for at spille koncerter og i 2013 blev gruppen atter samlet for at indspille nyt materiale.
</p>"
469361,Bjørn & Okay,"['Benny Jensen', 'Bjarne Ryming', 'Bjørn Hansen', 'Erik Madsen', 'Hugo Larsen', 'Ove Faarbæk', 'Poul Jørgensen', 'Robert Christensen', 'Svend Aage Studsgaard']","['pop', 'schlager (dansk top)']","<p><b>Bjørn &amp; Okay</b> er et dansk poporkester, der siden slutningen af 1968 har spillet dansktopmusik og haft en lang række hits som ""Du og jeg"", ""Den gule flyver"", ""Tro, håb og kærlighed"" og ""Bind dit gule hårbånd"".<sup class=""Template-Fact"" style=""white-space:nowrap;"">[<i><span title=""Dette udsagn mangler reference til pålidelige kilder. (siden Uge 15, 2013)"">kilde mangler</span></i>]</sup> Deres største albumsucces er <i>Snevalsen</i> (1982), der har solgt over 100.000 eksemplarer.
</p><p>Gruppens forgrundsfigur og sanger gennem alle årene har været Bjørn Hansen, der også spiller el-bas. De øvrige medlemmer er i dag trommeslageren Benny Jensen, keyboardspilleren Svend Aage Studsgaard og guitaristen Erik Madsen.
</p><p>Bjørn Hansen er far til Johnny Hansen fra dansebandet Kandis.
</p>"
387230,Blast,"['Bjarne Thanning', 'Fabio Fiorentino', 'Roberto Masi', 'Vito De Canzio']","['funk', 'soul']","<p><b>Blast</b> er et dansk soul-funk bigband, som blev stiftet i 1980, opløst i 1990 og gendannet i 2005. Blast spiller funky dansemusik med hornarrangementer, sangerinder i front, en swingende rytmegruppe og en række musikere. Bandet er ledet af basunisten Bjarne Thanning.
</p>"
166473,BliGlad,"['Benjamin Lesak Jensen', 'Christopher Mclaughlin', 'Cyron Melville', 'Daniel Rosenthal Plon', 'Jesper Iversen', 'Kasper Brinck', 'Kristian Nordentoft', 'Max Buthke']",['reggae'],"<p><b>BliGlad</b> var et dansk reggae-band fra Aarhus. Efter at have været kendt i undergrunden som et humoristisk og energisk liveband, blev de i 2006 kendt af en bredere skare, da de medvirkede på radiohittet ""Hængekøjen Remix"" sammen med Ufo &amp; Yepha og Natasja. Førstesinglen ""Dans for satan"" fra debutalbummet <i>Kærlighed til folket</i> blev valgt til ugens uundgåelige på P3.
</p>"
229485,Bliss,"['Alexandra Hamnede', 'Klaus Bau Jensen', 'Marc-George Anderson', 'Salvador Tchando Embalo', 'Steffen Aaskoven']","['soul', 'electronic', 'new age']","<dl><dd><span typeof=""mw:File""><span></span></span><i> Denne artikel omhandler en danske musikgruppe. Opslagsordet har også en anden betydning, se Bliss (månekrater).</i></dd></dl>

<p><b>Bliss</b> er en dansk musikgruppe, der spiller New Age og elektronisk musik. Gruppen er bedst kendt for nummeret ""Lost Soul"", der siden tredje sæson, har fungeret som et slags tema for <i>Robinson Ekspeditionens</i> ø-råd.
</p>"
251169,Blue Boys,"['Bjarne Rydstrøm', 'John Mogensen', 'John Nielsen', 'Jørgen Pedersen', 'Palle Reinert']","['pop', 'schlager (dansk top)', 'choral']","<p><b>Blue Boys</b> var en dansk vokalgruppe, der blev dannet i 1949 som en duo bestående af spejder- og soldaterkammeraterne Jørgen Pedersen og Bjarne Rydstrøm.
</p><p>Blandt deres mest kendte sange kan nævnes : ""Ud på flisen Karoline"" (1958), ""Oppe på bjerget"" (1954), ”Hvergang du smiler lidt til mig” (1955), ""En skraldemand ta'r skraldet"" (1961), ""Charlie Brown"" (1959), ""Tammy"", ""Hvem har lånt min gamle hat"" (1958) og ""Falleri Fallera"", ""Døllefjælde-Musse"" (1972).
</p><p>Omkring ca. 1950 kom Otto Nielsen med og de optrådte i et par år som trio, indtil John Mogensen gjorde det til en kvartet i 1952. Op gennem 1950'erne blev de meget populære på deres vokalharmonier i amerikanske og danske schlagere. De blev landskendt, da de i 1954 indsang ""Oppe på bjerget"", der solgte 150.000 eksemplarer. I flere år var de faste gæster hos Volmer-Sørensen i fjernsynsshowet <i>TV i Tivoli,</i> som blev sendt i Nordvision det sidste halvandet år. Det var medvirkende til at Blue Boys turnerede en del i Sverige herunder radio - og TV jobs med afstikker til norsk radio og TV. Mogensen var med til at starte Four Jacks i 1956, og trådte ud af gruppen, hvorefter John Nielsen kom til i stedet. I 1958 blev Otto Nielsen afløst af Palle Reinert. I 1969 fejrede gruppen 20-års jubilæum i Tivolis Koncertsal, hvor de fik overrakt en guldplade for en million solgte plader. Trods den store succes beholdt alle medlemmerne deres borgerlige erhverv, idet Jørgen Pedersen var reklamemand, Bjarne Rydstrøm havde egen møbelforretning, Otto Nielsen var ingeniør hos B&amp;W og Palle Reinert (som afløste Otto Nielsen i 1958) var taxavognmand. I en årrække havde gruppen egen grammofonplade og musik forretning <i>Blue Boys Shop</i> på Gl. Kongevej på Frederiksberg, som John Nielsen senere overtog, da han i efteråret 1966 stoppede i Blue Boys.
</p><p>Med John Nielsen udtræden valgte Blue Boys at fortsætte som trio suppleret med akkompagnatør på  Farfisa orgel. John Nielsen fik i øvrigt ordren på at levere orglet, og blev i hele taget hovedleverandør af udstyr. Blue Boys trak på følgende akkompagnatører: Bertrand Bech, Hans Fjeldsted og Otto Francker  med Hans som den gennemgående figur (blev senere 4. mand i Blue Boys). Hans Fjeldsted stoppede i  efteråret 1972 og nu blev Kim Reinert (Palles søn) fast mand i Blue Boys på bas og guitar.  
</p><p>Blue Boys fik et stort come back I 1972  med hittet ”Døllefjælde-Musse”, som lå nummer 1 på Dansktoppen i adskillige uger. Hittet blev en sællert og lå I alt 13 uger på Dansktoppen. Nummeret blev lavet i samarbejde med Johnny Reimar og Helmer Olesen på STARBOX. Det blev til adskillige pladeindspilninger i samarbejde med Johnny Reimar. Derudover blev det også til et samarbejde om kor til Johnny Reimar og hans smølfer.
</p><p>Da Johnny Reimar i 1978 udsendte sit første album med Smølferne, <i>Johnny Reimar i Smølfeland</i>, var det Blue Boys' vokaler der var blevet sat op i dobbelt-tempo for at lave smølfe-stemmerne. <i>Johnny Reimar i Smølfeland</i> solgte over 100.000 eksemplarer, og fra 1978–81 udkom adskillige album med Smølferne.
</p><p><br>
</p>"
215299,Blue Foundation,"['Bo Rande', 'Tobias Wilner']","['pop', 'electronic']","<p><b>Blue Foundation</b> er en musikgruppe der består af
Bo Rande og Tobias Wilner. Blue Foundation har opnået international anerkendelse med deres drømmende og filmiske lyd. De er specielt kendt for deres sange <i>Eyes on Fire</i> fra <i>Twilight Saga</i> og <i>Sweep fra</i> Michael Manns <i>Miami Vice</i>.
</p><p>Blue Foundation's lyd beskrives som elektronisk drømme-pop med skiftende kvindelige eller mandlige sangsolister. Tobias Wilner har været en af de primære forsanger siden 2007, ved siden af skiftende kvindelige sangere som Sara Savery, Sitrekin, Cokiyu, Sonya Kitchell og Erika Spring.
</p><p>Blue Foundation har udgivet seks studiealbum, senest albummet <i>Blood Moon</i> fra september 2016 og <i>Silent Dream</i> fra 2019.
</p>"
504436,Blue Notes,"['Chris McGregor', 'Dennis Mpale', 'Dudu Pukwana', 'Early Mabuza', 'Flemming Werge', 'Johnny Dyani', 'Louis Moholo', 'Mongezi Feza', 'Mongezi Velelo', 'Nick Moyake', 'Tete Mbambisa']","['pop', 'schlager (dansk top)']","<p><b>Blue Notes</b> er en dansk popband, der siden 1965 har været en del af Dansktoppen. Bandet brød i 1968 igennem med <i>Julia</i>, men deres største hit var <i>Uglevisen</i> fra 1975. Bandet består i dag af Kjeld Christiansen og Steen Olsen, men mest kendt er nok forsangeren i perioden 1967-1980, Flemming Werge.
</p>"
480178,Blåbærrene,"['Bent Johansen', 'Flemming Nordenhof', 'Jens Ole Steen', 'Jesper Egerup', 'Ove Munch Thomsen', 'Poul Nielsen', 'Torben Skov']",['jazz'],"<p><b>Blåbærrene</b> (ved udenlandske arrangementer: Jazzband Blueberries) er et traditionelt jazzorkester med rod i Holstebro. Bandet består af amatørmusikere. Stilen er glad dansevenlig jazz, som det kendes fra Louis Armstrong, Chris Barber og i Danmark Papa Bues Viking Jazzband. Orkestret er opkaldt efter Fats Dominos sang ""Blueberry Hill"", som er fast på repertoiret.
</p>"
259337,Den Danske Blæserkvintet,"['Bjørn Carl Nielsen', 'Bjørn Fosdal', 'Peter Bastian', 'Søren Birkelund', 'Verner Nicolet']",['brass band'],"<p><b>Den Danske Blæserkvintet</b> blev stiftet i 1968 og bestod af de samme fem musikere indtil 2017, hvor Peter Bastian døde.
</p>"
253105,Blæserkvintetten af 1932,"['Carl Bloch', 'Ingbert Michelsen', 'Johan Bentzon', 'Poul Allin Erichsen', 'Waldemar Wolsing']","['classical', 'brass band']","<p><b>Blæserkvintetten af 1932</b> var et dansk kammerensemble, der blev dannet 1932 og bestod af
</p>
<ul><li>Johan Bentzon, fløjte (senere: Holger Gilbert-Jespersen)</li>
<li>Waldemar Wolsing, obo</li>
<li>Poul Allin Erichsen, klarinet</li>
<li>Wilhelm Lanzky-Otto, horn (senere: Ingbert Michelsen)</li>
<li>Kjell Roikjer, fagot (senere: Carl Bloch (ikke kunstmaleren))</li></ul>
<p><br>
</p>"
487738,Danskbob,"['Ole Irenæus', 'Uno Wierød']",[],"<p><b>DanskBob</b> er en dansk musikduo bestående af brødrene Ole Irenæus og Uno Wierød fra Haderslev, Sønderjylland. 
</p><p>Duoen udgav i 2005 albummet <i>DYLANsk</i>, som blev udsendt i Danmark og Sverige. Cd'en indeholder 12 Bob Dylan-numre på dansk, oversat af Irenæus Wierød; broderen Uno medvirker på cd'en som sanger, guitarist, orgel og harmonikaspiller. På cd'en medvirker endvidere som forsanger Nils-Ole Poulin samt flere danske og svenske musikere. Albummet fik tre ud af seks stjerner i <i>Gaffa</i>
</p><p>DanskBob &amp; band er navnet på gruppen som optræder live med disse Dylan-numre på dansk. Her er det Uno Wierød, som er leder og sanger.
</p>"
387451,Bodebrixen,"['Andreas Brixen', 'Aske Bode']",[],"<p><b>Bodebrixen</b> er et dansk band, som blev stiftet i 2006. Bandet består af Aske Bode og Andreas Brixen, som tilsammen lægger navn til bandet.
Bodebrixen har før spillet på SPOT festival, Roskilde Festival og i Belgien, Italien, Island og England.
</p><p>Når bandet spiller live, har de et fire mand stort liveband med bestående af Jacob Haubjerg Andersen (bas, kor), Jens Bach Laursen (trommer, kor), Magnus Lindgaard Jochumsen (perkussion, kor) og Martin Poulsen (guitar, kor). Selv spiller Aske tangenter live, og Andreas synger.
</p><p>Bodebrixen udgav i maj 2012 singlen ""Ghost"" og albummet ""Out of Options"" udkom september 2012.
</p><p>Bodebrixen er signet hos det skandinaviske label Playground Music.
</p>"
524990,Boghandle,"['Clyde Hofgart', 'Gigandhi', 'Ian Walsh', 'Jens Hesselholt', 'Martin Lind', 'Morten Lykkeby']","['rock', 'heavy metal', 'grunge']","<p><b>Boghandle</b> (navnet udtales som på engelsk: /bɑɡˈhæn.dl/) var et dansk band (1985-1996), der endte med at få prædikatet: ""Danmarks første grungeband"".
</p><p>Bandet blevet dannet af Morten Lykkeby og Henrik Føhns i 1985. Efter en del udskiftninger kulminerede gruppen i 1993 kunstnerisk og publikumsmæssigt med en stribe koncerter i Europa, hvor de bl.a. overraskede publikum på Roskilde Festival ved at springe ud i faldskærm over festivalpladsen, før de skulle optræde. 
</p><p>Forsanger Ian Walsh forlod gruppen i 1994, og guitaristen Martin Lind overtog pladsen foran mikrofonen. I efteråret 1995 udgav de albummet <i>Boghandle Torched</i> – en plade, der ikke er inspireret af grunge, men heavy metal, fusion og tidlig 70'er-rock.
</p>"
524583,Boho Dancer,"['Asker Bjørk', 'Ida Wenøe', 'Símun Mohr']","['rock', 'folk']","<p><b>Boho Dancer</b> er et dansk folk-rock band, der består af Ida Wenøe, Símun Mohr og Asker Bjørk.
</p><p>Bandet vandt P3's KarriereKanonen i foråret 2011.
</p>"
1065748,Boilers,['Andreas Jensen\nAnders Kanstrup'],[],"<p><b>Boilers</b> er en dansk producerduo bestående af de to producere, Andreas Jensen og Anders Kanstrup. Boilers blev dannet under corona-lockdown i 2020, hvor Andreas og Anders mødte hinanden virtuelt og begyndte at lave musik sammen over zoom. Deres første single Kiss Me, som er et cover af 90'er hittet af samme navn fra Sixpence None The Richer, gav dem en pladekontrakt hos DJ'en, Oliver Heldens pladeselskab <i>OH2 Records</i>. På daværende tidspunkt havde de to medlemmer endnu ikke truffet hinanden ansigt til ansigt og først få dage før deres debut single udkom, mødtes de for første gang.
</p>"
387169,Boogie Blues Band,['Major Harris'],['blues'],"<p><b>Boogie Blues Band</b> er et dansk band, der består af Johannes Ettrup (leadsang og tenorsaxofon), Toke Stryhn (klaver), Kaspar Frederiksen (bas) og Philipp Brodersen (trommer).
</p>"
249345,Boolsen kvartetten,"['Ole Mortensen', 'Ove Fangel Olsen', 'Svend Aage Møller', 'Valdemar Boolsen']",['choral'],"<p><b>Boolsen Kvartetten</b> var et dansk vokalensemble, der blev dannet i 1942 og især blev kendt for deres udgave af <i>Bamses fødselsdag</i>, der var fast repertoire i Giro 413 i 1950'erne og 60'erne.
</p><p>Kvartettens medlemmer var:
</p>
<ul><li>Valdemar Boolsen (1916-1991) 1. tenor</li>
<li>Ole Mortensen (1924-1981) 2. tenor</li>
<li>Ove Fangel Olsen (1922-) 1. bas</li>
<li>Svend Aage Møller (1919-1974) 2. bas</li></ul>
<p>Kvartettens medlemmer sang i Danmarks Radios kor i 1930'erne, Radiodrengekoret under Henning Elbirk og Weekendhyttens kor under ledelse af Svend Saaby i 1940'erne.
Boolsen Kvartetten havde deres storhedstid i 1950'erne i årene før vokalgrupperne Four Jacks og Blue Boys dukkede frem.
</p><p>Kvartetten indspillede de fleste af deres 78' plader på Bent Fabricius-Bjerres plademærke Metronome. Hertil kom en lang række salmer og religiøse sange indspillet på plademærket Felix.
</p><p>I alt har Boolsen Kvartetten indspillet knap 80 sange.
</p>"
410623,Boom Clap Bachelors,"['David Cytryn', 'Robin Hannibal', 'Ronni Vindahl', 'Thomas Bisballe']","['soul', 'hip hop', 'electronic', 'techno']","<p><b>Boom Clap Bachelors</b> er et kollektiv af live-musikere, producere og DJ's fra København. Kollektivet blev dannet i 2005, hvor de også udsendte et selvbetitlet debutalbum.
</p><p>Medlemmer af Boom Clap Bachelors tæller Ronni Vindahl, David Cytryn, Robin Hannibal, Nicolai Koch og Thomas Bisballe.
</p><p>Musikken spænder vidt fra electronica, techno og broken beats til disco, futuristisk soul og hiphop.
</p><p>Boom Clap Bachelors har desuden udover egne projekter været involveret i projekter for blandt andre Nobody beats the beats, Per V, MC Clemens, Owusu/Hannibal, Non+ og Quadron.
</p><p>Efter at have mødt Boom Clap Bachelors i København tog den engelske DJ og BBC-radiovært Gilles Peterson nummeret <i>Combiner</i> med på compilationen <i>Brownswood Bubblers Vol. 2</i>, der blev udgivet på hans eget label Brownswood.
</p><p><i>Combiner</i> var desuden første single fra albummet <i>Kort før dine læber</i>, der kom på gaden i slutningen af januar 2008.

</p><p>Yderligere er deres sang <i>Tiden Flyver</i> blevet brugt som sample i den amerikanske rapper Kendrick Lamars sang <i>Bitch Don't Kill My Vibe</i>.

</p>"
79433,Bourbon Street Jazzband,"['Finn Odderskov', 'Gerhard Ellerbæk', 'Hans Brockstedt', 'Heine Poulsen', 'Jesper Juul Hansen', 'Jørgen Nielsen (2)', 'Jørgen Zacho', 'Kim Nedergaard', 'Kurt H. Jacobsen', 'Mikael Hasle', 'Mikael Juul Hansen', 'Niels Brockstedt', 'Ole Rind Pedersen', 'Per Hviid Mikkelsen', 'Per Jegbjerg', 'Tage Petersen', 'Ulla-Mari Brantenberg']",['jazz'],"<p><b>Bourbon Street Jazzband</b> er et dansk jazzorkester med base i Midt-og Østjylland. Stiftet 1956 af Gerhard Ellerbæk, kornet og Kurt Heegaard Jacobsen, banjo, guitar og sang.
</p>"
154849,Brimstone Butterfly,"['Kristian Krämer', 'Kristian Vengsgaard', 'Ole Grell', 'Thomas Krämer', 'Thomas Nedergaard']",['rock'],"<p><b>Brimstone Butterfly</b> er en dansk rockgruppe, der blev dannet i 1995 af gymnasievennerne Thomas Krämer (vokal, guitar), Kristian Vengsgaard (synthesizer/orgel) og Ole Grell (bas). I 1996 udvides bandet med Kristian Krämer (trommer), der forøvrigt også er bror til Thomas Krämer. Mads Fogt (guitar) kommer med i Brimstone Butterfly i 2002.
</p><p>Brimstone Butterfly udgav i perioden 1999 – 2005 flere albums i ind- og udland, blev flittigt spillet på radio/tv, var Danmarks første number 1 på MTV Nordic, havde musik med i danske og internationale film og tv-serier (Nordkraft filmen, tv-serien De Udvalgte, den amerikanske tv-serie Good Girls Don’t på Oxygen Network US, flere titel sange på TV2 og TV3), været nomineret i American Surround Music Awards.
</p>"
339418,Brixx,"['Bjørn Holmegård Sørensen', 'Jens Brixtofte', 'John Hatting', 'Steen Ejler Olsen', 'Torben Jacobsen']",['eurovision pop'],"<p><b>Brixx</b> var et musikband fra Danmark, der deltog i og vandt Dansk Melodi Grand Prix 1982 med sangen ""Video video"".
</p><p>Ved det Eurovision Song Contest i Harrogate, England, endte ""Video video"" som nummer 17 ud af de 18 deltagere.
</p><p>Gruppen var opkaldt efter forsangeren, Jens Brixtofte, der også havde skrevet sangen. Et andet medlem af gruppen, John Hatting, deltog senere i flere danske grandprix'er i duoen Trax, og han har skrevet sange til andre grandprix-deltagere.
</p>"
89288,Brother Brown,"['Atle Rønne Thorberg', 'Henrik Olsen']",['house'],"<p><b>Brother Brown</b> (grundlagt 1995 og opløst 2004) var en dansk houseduo, bestående af Atle Rønne Thorberg og Henrik Olsen. I den sidste halvdel af 1990'erne lavede Brother Brown utallige remix, her i blandt for Madonna og Pet Shop Boys. I 1998 lavede de singlen <i>Under the Water</i> med Marie Frank der gik ind som nummer 18 på den engelske singlehitliste. Brother Brown har lavet remix for navne som Deep Dish, Danny Tenaglia, Christina Aguilera and Delerium, RinneRadio, Boomkat.
</p><p>Har modtaget en dansk grammy for bedste danse hit i 2000.
</p>"
147462,Buki Yamaz,"['Aske Bentzon', 'Ben Besiakov', 'Ethan Monnot Weisgard', 'Jeppe Reipurth', 'Kasper Winding', 'Kim Sagild', 'Klavs Nordsø', 'Mikkel Nordsø']","['funk', 'latin']","<p><b>Buki Yamaz</b> var en dansk fusionsgruppe, anført af fløjtenisten og komponisten Aske Bentzon. Gruppen eksisterede i 1970'erne og havde sin egen stil, der var en blanding af latinamerikansk musik og funk. Nogle af gruppens medlemmer kendte hinanden fra Bernadotteskolen i Hellerup, mens andre mødte hinanden på musiksommerhøjskolen i Vallekilde i 1970.
</p>"
143659,Cadentia Nova Danica,"['Hugh Steinmetz', 'John Tchicai', 'Max Brüel', 'Niels Harrit']","['jazz', 'experimental']","<p><b>Cadentia Nova Danica</b> er en avantgardejazzgruppe, som blev dannet af John Tchicai i 1966. Første udgave af ensemblet var en gruppe på ca 10 musikere bl.a.Steffen Andersen, Georgio Musoni, Kim Menzer, Max Brüel, Simon Koppel, Karsten Vogel, Finn von Eyben og Hugh Steinmetz. Senere i 1969 dannedes et større ""symfonisk"" ensemble i det eksperimenterende musik miljø omkring Reprise Teatret i Holte med bl.a. Theo Rahbek, Mauritz Tchicai, Willy Jagert, Jørgen Thorup, Sune Weimar, Michael Schou, Mogens Bollerup, Pierre Dørge, Jon Finsen, Claus Bøje, Anthony Barnett, Ole Thilo, Ole Matthiessen, Christian Kyhl, Ole Kühl. 14, 16 og 17 maj gik gruppen udvidet med bl.a. Willem Breuker, Bent Hesselmann, J.C. Moses, Niels Harrit, i studiet i Vanløse Bio og indspillede albummet <i>Afrodisiaca</i> for MPS Records <sup>(<span title='""MPS Records"" på engelsk Wikipedia'>en</span>)</sup> produceret af Joachim E. Berendt <sup>(<span title='""Joachim-Ernst Berendt"" på engelsk Wikipedia'>en</span>)</sup>.
</p><p><i>Politiken</i> skriver den 28. august 2006 at <i>Afrodisiaca</i>, Cadentia Nova Danicas anden udgivelse, er et overset værk som skulle have været med i Kulturkanonen. <i>Politikens</i> skribent, Anna-Lise Malmros, graver gamle anmeldelser frem som dokumentation:
</p>"
919940,Caper Clowns,"['Christian Højgaard', 'Henrik Krogh', 'Peter Højgaard', 'Rasmus Almlund', 'Rick Kingo']","['pop', 'indie rock']","<p><b>Caper Clowns</b> er et dansk indiepop-band fra den fynske by Ferritslev. Gruppen blev dannet i 2010 og har udgivet to albums og en EP. Gruppen består af Rick Kingo, Peter Højgaard, Christian Højgaard, Henrik Krogh og Rasmus Almlund.
</p><p>16. september 2016 udsendte gruppen singlen ""Pockets"", som blev valgt som ugens hit-tip i P4 Play. Pockets var førstesinglen fra debutalbummet <i>The Buca Bus</i>, som udkom to uger senere og efterfølgende gik ind på en delt 16. plads i Madsens top 20-liste over bedste album fra 2016, efter regelmæssigt at være blevet spillet på P4 siden udgivelsen. Også internationalt har der været stor opmærksomhed omkring albummet (<i>The Buca Bus</i>), der er blevet spillet på stationer i mere end ti lande, og som bl.a. er blevet kaldt årets debut af den amerikanske radiovært Alan Haber på hans topliste over de bedste udgivelser fra 2016.
Den internationale interesse førte til at bandet 19. og 20. maj 2017 spillede sine første internationale koncerter på The Cavern Club i Liverpool. 
</p><p>I efteråret 2018 udsendte bandet deres andet album <i>A Salty Taste To The Lake,</i> hvorfra særligt første single The Way I Dream øjeblikkeligt fik airplay på både P4, P5 og flere udenlandske stationer.
</p><p>I 2020 vandt bandet årets live pris ved Odense Live Prisen. 
</p><p>I 2021 udgav bandet sit tredje album Abdicate The Throne.
</p><p>I marts 2025 udgav bandet singlen Anywhere Is Home, som straks kom i rotation på DR P5
</p>"
