pageid,title,cleaned_member
464802,SuperCharger,"['Linc Van Johnson', 'Thomas Buchwald', 'Benjamin Funk', 'Karsten Dines', 'Ronni Claesen', 'Mikkel Neperus']"
79854,Superheroes,"['Thomas Troelsen', 'Asger Tarpgaard']"
90571,Superjeg,"['Peter Sommer', 'Carsten Valentin']"
405792,Supershine,"['Jerry Gaskill', 'Doug Pinnick', 'Bruce Franklin', 'Jeff Olson (2)']"
76926,Swan Lee,"['Pernille Rosendahl', 'Jonas Struck', 'Emil Jørgensen', 'Tim Christensen']"
975477,Taggy Tones,"['Emil Øelund', 'Jakob Øelund']"
1116772,The Cliffters,"['Ole Rasmussen', 'Jan Petersen', 'Johnny Reimar', 'Jan Eliassson', 'Lars Kofoed', 'Mogens Petersen', 'Rudolph Hansen', 'Steen Hansen', 'Henning Schmager', 'Per Oluf Flob Hansen', 'Torben Sardorf']"
405829,The Olympics,"['Walter Ward', 'Eddie Lewis (2)', 'Charles Fizer', 'Walter Hammond', 'Kenny Sinclair', 'Julius McMichaels', 'Melvin King (2)']"
1019406,The Poets,"['Troels Bech', 'Lars K. Andersen', 'Flemming Borby', 'Birgitte Bang', 'Mads Frederik', 'Susanne Unruh', 'Colin Wilkinson', 'Torben Engberg', 'Aud Wilken', 'Nikolaj Bülow Davidsen', 'Niclas Tange', 'Jens Nørremølle', 'Sanne Gottlieb', 'Frithjof Toksvig', 'John Krog Hansen']"
1120141,The Shout,"['Johannes Andersen', 'Søren Mikkelsen', 'Christer Båge', 'Morten Buchholtz', 'Joakim Øster', 'Dominic Gale']"
405944,The William Blakes,"['Kristian Leth', 'Bo Rande', 'Frederik Nordsø', 'Fridolin Nordsø']"
405946,TheBoyTheManThePale,"['Anna Valgreen', 'Johannes Smed', 'Toke Hage']"
389024,TheCOMPANY,[]
492544,Thulebasen (band),"['Nis Bysted', 'Niels Kristian Eriksen', 'Felia Gram-Hanssen']"
976804,Tiger Tunes,"['Klaus Hedegaard Nielsen', 'Kåre R. Hansen', 'Kristian Bang Noergaard', 'Marie Højlund', 'Lasse Lakken']"
405952,Twins Twins,"['Theis Ørntoft', 'Suni Argjaboda', 'Morten Hyldahl', 'Dennis DeBannic']"
139396,TYG,"['Steen Svare', 'Lars Mitch Fischermann', 'Wili Jønsson']"
233049,UCR,"['Lars Bent Petersen', 'Søren Søndergaard Johnsen', 'Karsten Hjarsø', 'Lone', 'James', 'Filip', 'Bettina', 'Todd']"
536563,Ulige Numre,['Carl Emil Petersen']
96709,Under Byen,"['Henriette Sennenvaldt', 'Nils Gröndahl', 'Morten Larsen', 'Sara Saxild', 'Stine Sørensen', 'Morten Svenstrup', 'Anders Stochholm', 'Thorbjørn Krogshede', 'Katrine Stochholm', 'Myrtha Wolf', 'Anders Præstegård', 'Anna Budtz', 'Poul Rønnenfelt']"
944515,Velvet Volume,"['Nataja Lachmi', 'Naomi Lachmi', 'Noa Lachmi']"
124738,VETO (band),"['Troels Abrahamsen', 'David Krogh Andersen', 'Mark Lee', 'Jens Skov Thomsen', 'Mads Hasager']"
135600,Volbeat,"['Michael Poulsen', 'Jon Larsen', 'Anders Kjølholm', 'Franz Gottschalk', 'Thomas Bredahl', 'Rob Caggiano', 'Kaspar Boye Larsen', 'Teddy Vang']"
739789,Voss Torp Brill,"['Johnny Voss', 'Nils Torp', 'Anders Brill']"
225166,Waking Life,"['Wes Nelson', 'Ross Menze', 'Nick Valenta', 'Chris Hayes (4)', 'Seth Jabs', 'Phil Sitilitis']"
121702,Walkers,"['Torben Lendager', 'Poul Dehnhardt']"
405957,White Pony,['Pato Siebenhaar']
280341,The Whiteouts,"['P', 'Jesper Binzer']"
405958,WhoMadeWho,['Tomas Barfod']
399120,Wolfkin,"['Christian Gotfredsen', 'Lars Vognstrup']"
400033,Yellowish,"['Laura Noszczyk', 'Lars Madsen (2)', 'Andreas Bundgaard', 'Aage Hedensted Kinch']"
139426,Young Flowers,"['Peer Frost Johansson', 'Peter Ingemann', 'Ken Gudman']"
1121376,Zar Paulo,"['Johan Horsmans', 'Anton Breinbjerg', 'Emil Vammen', 'Tobias Schou', 'Martin Kleberg']"
686430,Brdr. Hellemann,[]
1084349,Fjernsyn (band),"['Bo Feierskov', 'Hans Henrik Præstbro', 'Per Toftager']"
264898,Skabelon:Tolkien Ensemble,[]
622855,4 Mand Høj,"['Helge Baun Sørensen', 'Stefan Haugland', 'Henrik E. Frederiksen', 'Kim Glies Nanfred', 'Otto Leander Nielsen']"
728866,5 x Kaj,"['Peter Bay', 'Bertel Abildgaard']"
435345,A Mothers Voice,[]
1167229,Agitpop,"['Albert Garzon', 'Harvey Sorgen', 'John Devries', 'Mark Lafalce', 'Rick Crescini']"
28512,Alexanderband,"['Esben Rud Skovgaard', 'Jesper Stensgaard', 'Sune Watts', 'Kasper Tøstesen']"
692953,Alice & Rita,"['Alice', 'Rita']"
798355,Alpha Centauri,"['Bjarne Roupé', 'Bo Stief', 'Palle Mikkelborg', 'Jørgen Emborg', 'Ole Theill']"
118012,Amdi Petersens Armé,"['Tommas Svendsen', 'Peter Bonneman', 'Rasmus (5)', 'Lasse Skov (2)']"
206503,Analogik,"['Asger Strandby', 'Theis Bror', 'Jesper Kobberø', 'Bjørnern']"
1128727,Ancient Tribe,"['Alexandre Zaghini', 'Sergio Brentan']"
640581,Anima (band),"['Kenneth Knudsen', 'Mikkel Nordsø', 'Michael Friis', 'Ole Theill', 'Cy Nicklin']"
435382,Anna Teuila,[]
119582,Anne Linnet Band,"['Anne Linnet', 'Lis Sørensen', 'Sanne Salomonsen', 'Holger Laumann', 'Jan Glæsel', 'Flemming Ostermann']"
796672,Anti Social Media,"['Philip Thornhill', 'Nikolaj Tøth Andersen', 'David Rønne Vang', 'Emil Vissing Christensen']"
787532,Aphyxion,"['Michael Reincke Vahl', 'Jonas Haagensen', 'Jakob Tranberg Jensen', 'Jais Jessen', 'Bertil Rytter']"
140567,Asbest (band),[]
1138976,Asinhell,['Michael Poulsen']
911503,Athelas Sinfonietta,"['Thomas Ekman', 'Ida Speyer Grøn', 'Anna Klett', 'Idinna Lutzhøft', 'Anne Søe Iwan', 'Adam Stadnicki', 'Andras Olsen', 'Karen Skriver Zarganis', 'Jonas Wiik', 'Maria Boelskov', 'Signe Haugland', 'Hélène Navasse', 'Manuel Esperilla']"
120765,B-Boys,"['Kåve Pour', 'Mathias Saabye', 'Sebastian Aagaard-Williams']"
1157549,B.O.C,"['Gilli', 'Kesi', 'Benny Jamz']"
429427,Back to Back,"['Morten Remar', 'Nis Bøgvad']"
413207,Backseat,"['Helge Solberg', 'Ivan Pedersen', 'Søren Jacobsen', 'Henrik Askou', 'Martin Jønsson', 'Carsten Millner', 'Esben Just', 'Lars Krarup', 'Otto Sidenius', 'Claes Antonsen', 'Lars Mitch Fischermann', 'Olle Nyberg']"
445470,Bahnhof,[]
271409,Balkan trioen,"['Peter Bastian', 'Egon Aagaard', 'John Ravn']"
344297,Balstyrko,"['Blæs Bukki', 'Ormen', 'Ane Trolle']"
964321,Bandjo,"['Jacob Haage', 'Fredrik Johansson (10)']"
411296,Basix,"['Morten Sønderby', 'Anders Ørsager', 'Niels Nørgaard', 'John Kjøller', 'Peter Bach', 'Toke Wulf', 'Morten Kjær', 'Jakob Hejlesen', 'Osman Kingo', 'Christoffer Brodersen', 'Thomas Laursen']"
119589,Bazaar (band),"['Peter Bastian', 'Anders Koppel', 'Flemming Quist Møller', 'Mehmet Ozan']"
1051169,Bellybutton,[]
918070,BengtssonSydow,"['Hans Sydow', 'Ulle Bjørn Bengtsson']"
47048,Bersærk,"['Lars Evers', 'Simon Gleerup Meiner', 'Jens Moss Thorsen', 'Rene Holmboe', 'Bastian Popp', 'Mads Fjeldvig', 'Torben Egebjerg', 'Casper Roland Popp']"
89426,Bikstok,"['EaggerStunn', 'Blæs Bukki', 'Pharfar']"
469361,Bjørn & Okay,"['Bjørn Hansen', 'Benny Jensen', 'Svend Aage Studsgaard', 'Erik Madsen', 'Hugo Larsen', 'Poul Jørgensen', 'Ove Faarbæk', 'Robert Christensen', 'Bjarne Ryming']"
457936,Black Leather Machine,[]
387230,Blast,['Bjarne Thanning']
166473,BliGlad,"['Christopher Mclaughlin', 'Kristian Nordentoft', 'Benjamin Lesak Jensen', 'Daniel Rosenthal Plon', 'Max Buthke', 'Kasper Brinck', 'Cyron Melville', 'Jesper Iversen']"
229485,Bliss,"['Steffen Aaskoven', 'Marc-George Anderson', 'Salvador Tchando Embalo', 'Alexandra Hamnede', 'Klaus Bau Jensen']"
251169,Blue Boys,"['John Mogensen', 'John Nielsen', 'Jørgen Pedersen', 'Bjarne Rydstrøm', 'Palle Reinert']"
215299,Blue Foundation,"['Tobias Wilner', 'Bo Rande']"
504436,Blue Notes,['Flemming Werge']
435609,Blue Sun,"['Søren Berggreen', 'Jan Kaspersen', 'Stefan Borum', 'Per Frost', 'Rudolph Hansen', 'Bo Thrige Andersen', 'Jytte Pilloni', 'Ole Kühl', 'Jesper Zeuthen', 'Lone Kellermann', 'David Cadogan', 'Bo Jacobsen', 'Poul Ehlers', 'Niels Pontoppidan', 'Ole Nordenhof', 'Leif Falk', 'Torben Bruun', 'Dale Smith (4)', 'Richard Greenwood', 'Preben Eriksen']"
325535,Blues Brothers Souvenir Show,[]
421199,Blunt (band),"['Jimmie Tagesen', 'Jakob Barndorff-Nielsen', 'Jacob Lyngsdal', 'Mikkel Govertz', 'Anders Enøe', 'Lasse Enøe', 'Niels Bach Storgaard', 'Hans Peter Mululu', 'Viggo Jørgensen', 'Jesper Friis', 'Günther Bach', 'Martin Robert Madsen', 'Mads Schaarup', 'Feike van der Woude']"
480178,Blåbærrene,"['Poul Nielsen', 'Flemming Nordenhof', 'Bent Johansen', 'Jens Ole Steen', 'Ove Munch Thomsen', 'Torben Skov', 'Jesper Egerup']"
259337,Den Danske Blæserkvintet,"['Verner Nicolet', 'Bjørn Carl Nielsen', 'Søren Birkelund', 'Peter Bastian', 'Bjørn Fosdal']"
253105,Blæserkvintetten af 1932,"['Poul Allin Erichsen', 'Carl Bloch', 'Waldemar Wolsing', 'Ingbert Michelsen', 'Johan Bentzon']"
487738,Danskbob,"['Ole Irenæus', 'Uno Wierød']"
387451,Bodebrixen,"['Andreas Brixen', 'Aske Bode']"
524990,Boghandle,"['Ian Walsh', 'Gigandhi', 'Martin Lind', 'Clyde Hofgart', 'Morten Lykkeby', 'Jens Hesselholt']"
524583,Boho Dancer,"['Símun Mohr', 'Ida Wenøe', 'Asker Bjørk']"
464189,Boil,[]
1065748,Boilers,['Andreas Jensen\nAnders Kanstrup']
387169,Boogie Blues Band,['Major Harris']
249345,Boolsen kvartetten,"['Valdemar Boolsen', 'Ole Mortensen', 'Ove Fangel Olsen', 'Svend Aage Møller']"
410623,Boom Clap Bachelors,"['Ronni Vindahl', 'David Cytryn', 'Robin Hannibal', 'Thomas Bisballe']"
120454,Borderline ensemble,[]
79433,Bourbon Street Jazzband,"['Finn Odderskov', 'Jørgen Nielsen (2)', 'Kim Nedergaard', 'Ole Rind Pedersen', 'Niels Brockstedt', 'Per Hviid Mikkelsen', 'Kurt H. Jacobsen', 'Gerhard Ellerbæk', 'Tage Petersen', 'Jesper Juul Hansen', 'Heine Poulsen', 'Per Jegbjerg', 'Jørgen Zacho', 'Mikael Hasle', 'Mikael Juul Hansen', 'Ulla-Mari Brantenberg', 'Hans Brockstedt']"
154849,Brimstone Butterfly,"['Thomas Krämer', 'Kristian Krämer', 'Thomas Nedergaard', 'Kristian Vengsgaard', 'Ole Grell']"
351705,BRINT,[]
339418,Brixx,"['Jens Brixtofte', 'Torben Jacobsen', 'John Hatting', 'Steen Ejler Olsen', 'Bjørn Holmegård Sørensen']"
89288,Brother Brown,"['Atle Rønne Thorberg', 'Henrik Olsen']"
147462,Buki Yamaz,"['Mikkel Nordsø', 'Aske Bentzon', 'Jeppe Reipurth', 'Ben Besiakov', 'Kim Sagild', 'Klavs Nordsø', 'Ethan Monnot Weisgard', 'Kasper Winding']"
143659,Cadentia Nova Danica,"['John Tchicai', 'Hugh Steinmetz', 'Niels Harrit', 'Max Brüel']"
919940,Caper Clowns,"['Rick Kingo', 'Peter Højgaard', 'Christian Højgaard', 'Henrik Krogh', 'Rasmus Almlund']"
267697,Cartoons,"['Jesper Sponge Dukholt', 'Martin Toonie Østengaard', 'Carsten Shooter Arndt-Larsson', 'Dave Buzz Stevens', 'Natasja Puddy Skov', 'Karina Boop Jensen']"
409945,Cartridge,[]
196667,Catbird,"['Billie Koppel', 'Frank Hasselstroem']"
479928,Champagne Riot,"['Anders Reuter', 'Caspar Bock']"
101079,Charlie Dee & The Twisters,"['Jan ""Chang"" Østergård', 'Peter Nielsen (8)', 'Robert Skov Kjeldsen', 'Peter Due Mikkelsen', 'Jørgen Grøndal', 'Frank Jensen (9)', 'Thomas Beck (12)']"
492051,Chestnut Avenue,"['Nichlas Paasch', 'Malthe Deichmann Duckert']"
326572,Chineese letterbox,[]
362152,Choir of Young Believers,"['Jannis Noya Makrigiannis', 'Jakob Millung', 'Cæcilie Trier', 'Lasse Herbst', 'Casper Henning Hansen', 'Bo Rande', 'Sonja Labianca']"
800562,Citybois,"['Anthon Edwards Knudtzon', 'Thor Blanchez Farlov']"
218165,The Clochards,"['Johnny Concrete', 'Jesper Brinck', 'Bjørn Hofmann', 'Michael Valeur']"
418713,Coco Moon,"['Nana Odderskær', 'Daniel Skjødt', 'Jens Nowack', 'Jens Hyldgaard', 'Niels Hyldgaard']"
402904,Cody (band),[]
199043,Cola Freaks,"['Mads', 'Morten', 'Jacob', 'Anders', 'Kasper', 'Kristoffer']"
153696,Compos Mentis,"['Dan Damgaard', 'Jesper Heinsvig', 'Ryan Kristensen', 'Andreas Posselt', 'Ken Holst', 'Rune Klausen', 'Bo Damgaard']"
51243,Cool Kids,"['Caroline Forsberg Thybo', 'Ibrahim Chouqeir', 'Niki Nack Popovic']"
128310,Copenhagen Art Ensemble,"['Peter Dahlgren', 'Ture Larsen', 'Thomas Clausen', 'Jakob Riis', 'Lotte Anker', 'Peter Fuglsang', 'Gunnar Halle', 'Anders Mogensen', 'Nils Davidsen', 'Anders Banke', 'Jacob Anderskov', 'Qarin Wikström', 'Tomasz Dąbrowski (2)', 'Lars Greve', 'Bjørn Heebøll']"
1034111,Copenhagen Drummers,"['Daniel Hansen, Matthias Brønnum, Morten Specht, Matti Schneider', 'Brian Jensen, Jacob Baagøe, Jonas Dyrsø, Joel Adelgaard, Nicolaj Sicard']"
137948,Copenhagen Gospel Choir,[]
156276,Copenhagen Showband,[]
786495,Corona (dansk band),"['Jesper Bo Nielsen', 'Carsten Wind']"
446101,Cowgirls,"['Sanne Salomonsen', 'Lis Sørensen', 'Tamra Rosanes']"
897144,Cujorius One,"['Nicolas Titti', 'Bjørn Jacobsen (3)']"
200537,"Cy, Maia & Robert","['Cy Nicklin', 'Robert Lelievre', 'Maia Aarskov']"
435379,Dafuniks,"['Elias Wallace', 'Michael Munch (2)']"
272128,Dandy Swingers,['Jens Rugsted']
1120247,Danser Med Piger,"['Oskar Krogager Ringgaard', 'Anders Haarder Gregersen', 'Victor Emil Hahn Prirsching', 'Daniel Mølgaard Christensen', 'Andreas Fejer Hermansen']"
485896,Darkness Falls,"['Josephine Philip', 'Ina Lindgreen']"
409967,Darling Don't Dance,"['Julie Nissen', 'Mette Andreasen', 'Maria Hammelsvang', 'Anders Haaning']"
251382,De 3 fra Radioen,[]
1010542,De Må Være Belgiere,"['Jacob Leth', 'Majka Bjørnager', 'Jesper Hede', 'Nils Skovbjerg']"
435351,Debutants Club,[]
408144,Decorate Decorate,"['Asbjørn Auring Grimm', 'Martin Rasmussen', 'Kristian Nygaard Olsen', 'Jan Kromann', 'Viggo Clausen', 'Christian Mathiesen']"
359892,Den Gule Negl,"['Kim Larsen', 'Thomas Helmig', 'Johnny Madsen', 'Klaus Kjellerup']"
157441,Den Sorte Skole,"['Martin Højland', 'Simon Dokkedal', 'Langefinger', 'Martin Fernando Jakobsen']"
1124049,Den Syvende Søn,"['Mads Jensen', 'Thomas Winberg', 'Mikkel Grue', 'Michel Belli', 'Adam Winberg']"
183107,Det Brune Punktum,"['Hella Joof', 'Martin Brygmann', 'Peter Frödin']"
782149,Det Glemte Kvarter,"['Søren Ulrik Thomsen', 'Maja Hartnack', 'Mikkel Grevsen', 'Anders Kirkegaard', 'Janus Rønn Lind', 'Malene Brask Olsen', 'Erik Olevik']"
389805,Det Jyske Ensemble,"['Lars Kvist-Jensen', 'David Strong', 'Henrik Husum', 'Lars Thygesen', 'Mette Nielsen', 'Jens Juul', 'Kennet Bohman', 'Uffe Munkgaard', 'Ulla Østergaard']"
446853,Det Neodepressionistiske Danseorkester,"['Kæv Gliemann', 'Helge Dürrfeld', 'Kim Bonfils', 'Peter Pascal Tøttrup', 'Kim Martiny', 'Asger Neumann', 'Johannes Grønager', 'Anita Krings', 'Anders Dybdal']"
293434,Det ny Tonefilmsorkester,[]
175986,Die Dumme Dänen,"['Clemens Legolas Telling', 'Nicolai Schneekloth', 'Troels Drasbech', 'Nikolai Storr-Hansen']"
305522,Die Herren,[]
205972,Dieters Lieder,"['Martin Gerup', 'Johan Gerup', 'Halfdan E. Nielsen', 'Morten Kaufmann', 'Ped Ott Tønsberg', 'Peter Rahbek', 'Axel Mohr']"
653620,Dig & Mig (duo),"['Dig', 'Mig']"
196800,Dig og mig og solskin,"['Tom Lundén', 'Per Åstrup Olsen', 'Søren Berlev']"
994753,Dirt Forge,"['Alexander Kolby', 'Yannick Bünger Kristensen', 'Nicolai Lomholt']"
282610,Diskofil,"['Disko Lydia', 'Porno Bent', 'Tiina Labina', 'Tango Tage', 'Onkel Finn', 'Boogie Jutta']"
395612,Djosos Krost,"['Pharfar', 'Dj Filip']"
653802,Djämes Braun,"['Lasse Kramhøft', 'Kent Pedersen']"
360807,Dominus (band),"['Michael Poulsen', 'Anders Kjølholm', 'Franz Gottschalk']"
487943,DR Big Bandet,[]
391842,Dr. Dopo Jam,"['Kristian Pommer', 'Poul Snitker', 'Lars Rasmussen', 'Bent Clausen', 'Ethan Weisgard', 'Anders Gårdmand', 'Lars Bisgaard', 'Jesper Hindø', 'Jørgen Knudsen (2)', 'Niels Christensen (2)']"
484304,Drive-in (band),"['Cedric Bixler-Zavala', 'Omar Rodriguez-Lopez', 'Ryan Sawyer', 'Jim Ward', 'Paul Hinojos', 'Tony Hajjar', 'Keeley Davis', 'Kenny Hopper', 'Adam Amparan', 'Jarrett Wrenn', 'Ben Rodriguez', 'Davy Simmons', 'Bernie Rincon']"
686441,Drori-Hansen Furniture,['Erann DD']
440430,Drott & Marsk,"['Bjarke Helmø', 'Stig Helmer Jensen', 'Mikkel Baltser Dørig', 'Tomas Raae', 'Dan Hvidtfeldt Larsen']"
346192,Dræsinebanden,"['Inge-Marie Nielsen', 'Charlie Krøis', 'Allan Frederiksen', 'Andreas P. Nielsen', 'Lars Kirkegaard', 'Kristian Rusbjerg']"
486323,Dødning (band),[]
479034,E.T.A.,"['Andy Cox', 'David Steele', 'John Hughes (17)']"
602205,EaggerStunn,"['Eagger', 'Stunn Gunn']"
653813,The Eclectic Moniker,"['Frederik Vedersø', 'Tobias Ljungar Sødring', 'Anders Thambo', 'Peter Kohlmetz Møller', 'Esben Beldring']"
106100,Efterklang (musikgruppe),"['Mads Brauer', 'Casper Clausen', 'Rasmus Stolberg', 'Rune Mølgaard', 'Thomas Husmer']"
784325,Eggs Laid by Tigers,"['Jonas Westergaard', 'Peter Bruun', 'Simon Toldam', 'Martin Ullits Dahl']"
403296,Electric Lady Lab,"['Martin Bøge Pedersen', 'Stine Hjelm Jacobsen']"
257122,Electro Swingers,"['Irving Waldorff', 'Bjarne Abel']"
483939,Emily and The Orgasm Addicts,"['Emily Conlon', 'Johannes Møller Astrup', 'Silas Michelsen', 'Fillip Willink', 'Thea Berg']"
924820,Èn Over/Èn Under,[]
246177,Engle for evigt,[]
179958,Enola Gay (band),"['Anderz Nielsen', 'Jyde', 'Jesper (5)', 'Brian (80)']"
389833,Ensemble 2000,"['Søren Kinch Hansen', 'Marianne Leth', 'Florian Navarro', 'Frederik Munk Larsen', 'Niels Henrik Nielsen (2)', 'Trine Yang Møller', 'Thomas Olufsen', 'Sven Micha Slot']"
474205,Entrance,"['Palle Mikkelborg', 'Kenneth Knudsen', 'Jesper Nehammer', 'Bo Stief', 'Kasper Winding', 'Jon Christensen', 'Thomas Clausen', 'Bjarne Roupé', 'Lennart Gruvstedt', 'Ethan Monnot Weisgard']"
117047,Epo-555,"['Mikkel Max Hansen', 'Hans Emil Hansen', 'Ebbe Kristian Frej', 'Tine Winther', 'Camilla Florentz']"
379300,Er de sjældne,"['Solveig Sandnes', 'Lone Hørslev']"
857230,Esben Just Trio,"['Esben Just', 'Niels Ratzer', 'Henrik Schou Poulsen', 'Ole Skipper', 'Søren Frost']"
969398,Everybody's Talking,"['Billy Cross', 'Jimmy Bacoll']"
487483,F.U.K.T.,['Anders Meinhardt']
403320,Fagget Fairys,"['Carla Camilla Hjort', 'Elena Carli Čosović']"
486330,Faktaposen,"['Kenneth K, Scan og DJ Static']"
477877,Fastpoholmen,"['Adam Fastholm', 'Dawn Fastholm']"
14506,FemininuM,"['Freja Eva Lockenwitz', 'Michala Iben Riis-Vestergaard']"
453323,FIGURA Ensemble,['Helene Gjerris']
404059,Filur (band),"['Tomas Barfod', 'Kasper Bjørke']"
429303,The Fireflies,"['Henriette Andersen', 'Julia Fabrin Jakobsen', 'Mathilde Christensen']"
117935,Flipside,[]
249329,Dansk Fløde,"['Bjørn Vidø', 'Marcelino Ballarin', 'Mikael Fleron', 'No. 1 (2)', 'Jesper Eugen-Olsen']"
1022326,FOOL (musikduo),"['Adrian Mikkelsen', 'Rasmus Jarby']"
154059,Four Jacks,"['Poul Rudi', 'John Mogensen', 'Bent Werther', 'Otto Brandenburg', 'James Rasmussen', 'Erik Aae Jensen']"
700008,Freddy and the Phantoms,"['Morten Rahm', 'Rune René Hansen', 'Frederik Schnoor', 'Anders Haahr', 'Mads Wilken', 'Mikkel Nyboe', 'Mads Nyboe']"
418985,The Freudian Slip,[]
476437,Fu:el,"['Lars Thomsen', 'Theis Keller', 'Patrick Hellegård', 'Tarik Bakir', 'Martin Bunk']"
1057576,Fyr og Flamme (musikduo),"['Jesper Groth', 'Laurits Emanuel']"
1051023,Ganger,"['Mille Mejer Djernæs Christensen', 'Ninna Lundberg', 'Andreas Campbell', 'Thomas Bach Skaarup']"
404070,Ghost Society,"['Sara Savery', 'Tobias Wilner', 'Lasse Herbst']"
187596,Ghost Voo,[]
404072,Giana Factory,"['Lisbet Fritze', 'Sofie Johanne', 'Loui Foo']"
974524,GinmanBlachmanDahl,"['Lennart Ginman', 'Thomas Blachman', 'Carsten Dahl']"
728636,Go Go Berlin,"['Christian Vium – Vokal, guitar', 'Anders Søndergaard – Orgel', 'Christoffer Møller Østergaard – Trommer', 'Mikkel Dyrehave Hansen', 'Emil Rothmann']"
160734,Gorilla Angreb,"['Peter Bonneman', '', 'Retardo', 'Mai Sydendal']"
1159465,Gospel-kids,[]
558522,Halberg Larsen,"['Poul Halberg', 'Mona Larsen']"
396083,Hammond Rens,[]
1062514,Hans Mosters Vovse,"['Allan Mortensen', 'Ole Rasmus Møller', 'Jannie Høeg', 'Winnie Hedegaard']"
488994,Harmoniorkesteret APO,[]
440425,Her Personal Pain,"['Heine Lennart Christensen', 'Dicte Westergaard Madsen', 'Palle Schultz', 'Allan ""Joy"" Hansen']"
411511,Hess Is More,"['Bang Chau, Charlotte Munck, Jenno, Niclas Knudsen']"
138563,Hjemme Hos Lau,[]
154534,Hjertestop (band),"['Las Ballade', 'Jesper', 'Nikolaj', 'Yogi', 'Hasse']"
655093,Hobo Ekspressen,['Peter Belli']
349100,The Holiday Show,"['Mads Rønbjerg', 'Troels Hammer', 'Casper Castello', 'Morten Sylvest', 'Troels Hammer (2)']"
1087755,Holm Paakjær,"['Bjarke Holm', 'Jeppe Paakjær']"
1032261,Holtsø og Wittrock,"['Jes Holtsø', 'Morten Wittrock']"
1016495,Hos Anna,"['Pierre Dørge', 'Bent Clausen', 'Lotte Rømer', 'Irene Becker', 'Jette Schandorf', 'Hanne Rømer', 'Karen Mortensen']"
19722,Hot Eyes,"['Kirsten Elisabeth Siggaard Andersen', 'Søren Bundgaard']"
926103,How Do I,"['Anders Remmer', 'Hans Holten Hansen']"
450799,Howl Baby Howl,"['Jeppe Brix Sørensen', 'Silas Tinglef']"
1080792,Hugorm (band),"['Simon Kvamm', 'Morten Gorm', 'Árni Bergmann']"
699917,Hyldemor (musikgruppe),[]
258112,Hymns from Nineveh,['Jonas Petersen']
154110,Hærværk (band),"['Myre Knudsen', 'Mike (237)', 'Anders (59)', 'Lisa (180)']"
355398,IdaAida,"['Aida Abdi', 'Ida Ambrose']"
457490,Ikscheltaschel,"['Jens Bjørnkjær', 'Søren Kjærgaard', 'Kresten Osgood']"
942983,Impalers,"['Søren Crawack', 'Thomas Carnell', 'Kenneth Frandsen', 'Rasmus Kjær']"
440988,In-Joy,"['Christian Kundschaft', 'Andreas Gordon Behle', 'Kay Loskill', 'Dimitri Ignatjenko']"
243707,Incontrollados,"['Dalle', 'Nikolaj', 'Las Ballade', 'Johan']"
824199,InCrest,"['Marcie', 'Anderson', 'Jones', 'Jonees']"
547545,Indianna Dawn,"['Kasper Olsen', 'Rasmus Glendorf', 'Dianna Dønns', 'Nicoline Mørup C.', 'Søren Adolph']"
506809,Infernal Torment,['Jakob Batten']
14508,Grethe og Jørgen Ingmann,"['Grethe Ingmann', 'Jørgen Ingmann']"
301218,Innocent Blood (musikgruppe),"['Ditlev Ulriksen', 'Lars Prag Hansen', 'Jesper Hofmann Lindahl', 'Ulrik Münster-Swendsen']"
500106,Intelligent Pushing,"['DynamicH', 'Michael Mental']"
461141,Invocator,"['Jacob Hansen', 'Perle Hansen', 'Jacob Gundel', 'Carsten Mikkelsen', 'Jacob Schultz', 'Flemming C. Lund', 'Søren Christensen', 'Per Jakobsen', 'Otto Hansen', 'Mikkel Henssel', 'Jesper Jensen', 'Finn Pedersen', 'Erik Zoega', 'Per Møller Jensen', 'Brian Rasmussen', 'Simon Melsen']"
224039,JaConfetti,"['Ane Trolle', 'Josephine Philip']"
348269,Janes Rejoice,"['Kåre Bjerkø', 'Stephan Grabowski', 'Flemming Muus', 'Claes Antonsen', 'Boi Holm', 'Hans Henrik Præstbro', 'Søren Nørregaard', 'Søren Lund', 'Anders Pedersen (3)']"
468302,Je m'appelle Mads,['Mads Geertsen']
1052981,Jesu Brødre,"['Georg Svendsen', 'William Kruse (2)']"
457475,Jimi & René,"['Jimi Vinding', 'René Vinding']"
301188,The Johanssons,"['Mattias Johansson', 'Marcus Johansson']"
1016220,Jonah Blacksmith,"['Simon Alstrup', 'Thomas Alstrup', 'Lasse Alstrup', 'Søren Bigum', 'Søren Poulsen', 'Thor Kortegaard', 'Jon Bisgaard Kjeldsen']"
243568,Jordans Drive,[]
819925,Julias Moon,"['Louis Samson', 'Oliver Kincaid', 'Nicolai Gabold']"
1036168,Jung (band),"['Jonas Jung Larsen', 'Michael Hovmand Hansen', 'Sigurd Boesen']"
101376,Junior Senior,"['Jeppe Laursen', 'Jesper Mortensen']"
239740,Jutlandia Saxofonkvartet,[]
88878,Kamikaze (band),"['Janus Magnussen', 'Jalte Windum', 'Peter Sylvest']"
422209,Kandy Kolored Tangerine,"['Tom Moriis', 'A.H. Starr', 'Jacob Falk', 'Christian Sekjær']"
