pageid,title,member,cleaned_member
204795,Melvis & His Gentlemen,"['Ivan Haki Haagensen', 'Erik Hertz', 'Erik Knudsen']","['Ivan Haki Haagensen', 'Erik Hertz', 'Erik Knudsen']"
397016,Menfolk,"['Per Chnöeldh', 'Lars Thor', 'Søren Kirk Jakobsen', 'Per Jørgensen']","['Per Chnöeldh', 'Lars Thor', 'Søren Kirk Jakobsen', 'Per Jørgensen']"
562990,"Mescalin, Baby","['Marc Facchini-Madsen', 'Mads Graves Pedersen', 'Johan Ovesen', 'Søren Nørbjerg', 'Andreas Brandt']","['Marc Facchini-Madsen', 'Mads Graves Pedersen', 'Johan Ovesen', 'Søren Nørbjerg', 'Andreas Brandt']"
139744,Midnight Sun (band),[],[]
462594,Mimas (musikgruppe),"['Snævar Njáll Albertsson', 'Daniel Beck', 'Lasse Christensen', 'Gert Hoberg Jørgensen', 'Kenn Hedegaard Eskildsen']","['Snævar Njáll Albertsson', 'Daniel Beck', 'Lasse Christensen', 'Gert Hoberg Jørgensen', 'Kenn Hedegaard Eskildsen']"
146198,Miss B. Haven,"['Lise Cabble', 'Anne Vig Skoven', 'Minna Grooss']","['Lise Cabble', 'Anne Vig Skoven', 'Minna Grooss']"
868703,Mo-I-Rana (band),"['Nils Henriksen', 'Ken Gudman', 'Bill Hazen', 'Ole Prehn', 'Hans Lauridsen', 'Thorkild Nielsen', 'Henrik Friis Nielsen']","['Nils Henriksen', 'Ken Gudman', 'Bill Hazen', 'Ole Prehn', 'Hans Lauridsen', 'Thorkild Nielsen', 'Henrik Friis Nielsen']"
191528,Molehill,"['Mikkel E', 'Tine Camilla Lind', 'Denniz Bertelsen', 'Simon Konski']","['Mikkel E', 'Tine Camilla Lind', 'Denniz Bertelsen', 'Simon Konski']"
499616,Monomania,[],[]
407867,Monopol (band),"['Nikolaj Rysager', 'Noah Rosanes']","['Nikolaj Rysager', 'Noah Rosanes']"
315280,Naïve,[],[]
453033,The Naked,[],[]
241211,Natural Born Hippies,"['Dan Hougesen', 'Bo Christensen', 'Tom Lindby', 'Sune Thorbjørnsen']","['Dan Hougesen', 'Bo Christensen', 'Tom Lindby', 'Sune Thorbjørnsen']"
440920,Nekromantix,"['Kim Nekroman', 'Andy DeMize', 'Emil Øelund']","['Kim Nekroman', 'Andy DeMize', 'Emil Øelund']"
782993,Nelson Can,"['Signe SigneSigne (bas),', 'Selina Gin', '(sang, percussion) og Maria Juntunen (trommer)', 'Tam Vibberstoft (trommer)']","['Selina Gin', 'Tam Vibberstoft']"
56569,News,"['Gitte Naur', 'Aske Jacoby', 'Jakob Vejslev', 'Lars Danielsson', 'Jeppe Reipurth', 'Jette Schandorf', 'Peter Biker', 'Martin Nordborg', 'Søs Fenger', 'Jørgen Rygaard', 'Nadia Stein']","['Gitte Naur', 'Aske Jacoby', 'Jakob Vejslev', 'Lars Danielsson', 'Jeppe Reipurth', 'Jette Schandorf', 'Peter Biker', 'Martin Nordborg', 'Søs Fenger', 'Jørgen Rygaard', 'Nadia Stein']"
412945,Nikolaj & Piloterne,"['Henrik Tvede, Flemming Rothause, Christian Veitner, Matias la Cour']","['Henrik Tvede, Flemming Rothause, Christian Veitner, Matias la Cour']"
486563,No Knox,[],[]
868069,No Name,[],[]
134403,Oh No Ono,[],[]
140182,Pan (musikgruppe),['Robert Lelièvre'],['Robert Lelièvre']
205968,Parkering Forbudt,"['Don Martin', 'Fox Nilfisk', 'Drezz', 'Grev Lyhne', 'Nico', 'Chris']","['Don Martin', 'Fox Nilfisk', 'Drezz', 'Grev Lyhne', 'Nico', 'Chris']"
1000679,Passport (band),"['Michael Hardinger', 'Paul Meyendorff', 'Bosse Hall Christensen', 'Niels Grønbech', 'Michael Bundesen', 'Jens Tage Nielsen']","['Michael Hardinger', 'Paul Meyendorff', 'Bosse Hall Christensen', 'Niels Grønbech', 'Michael Bundesen', 'Jens Tage Nielsen']"
112643,Peter og de andre kopier,['Peter Molzen'],['Peter Molzen']
969631,Phonovectra,"['Mark Rosenér', 'Francis Nørgaard', 'Andreas Bothmann', 'Allan K.']","['Mark Rosenér', 'Francis Nørgaard', 'Andreas Bothmann']"
230975,Picnic (band),"['Peter Fenger', 'Jens Sørensen', 'JP Krogh', 'Rasmus B. Lunding', 'Carsten Ortmann', 'Pablo Llambias', 'Ivan Hidalgo', 'Anders ""Watanabe"" Krøyer', 'Robert Ulrich', 'Jens Mønsted', 'René H. Clausen', 'Enrico Andreis']","['Peter Fenger', 'Jens Sørensen', 'JP Krogh', 'Rasmus B. Lunding', 'Carsten Ortmann', 'Pablo Llambias', 'Ivan Hidalgo', 'Anders Watanabe Krøyer', 'Robert Ulrich', 'Jens Mønsted', 'René H. Clausen', 'Enrico Andreis']"
237330,Playhouse,[],[]
126961,The Pockets,"['Tom Moriis', '-', 'Vokal', 'Henning Nielsen', '-', 'Guitar', 'Stephan Agger', '-', 'Bas', 'Jens-Peter Brodersen', '-', 'Trommer']","['Tom Moriis', 'Henning Nielsen', 'Stephan Agger', 'Jens-Peter Brodersen']"
179120,The Poisons,"['Erik Boas Pedersen', 'Erik Lindebjerg', 'Poul ""Trikker"" Svane', 'Vagn Gade', 'Henning Stærk Jacobsen', 'Johnny Thingsager Madsen', 'JP (Peder Jørgensen)', 'Søren Vistisen']","['Erik Boas Pedersen', 'Erik Lindebjerg', 'Poul Trikker Svane', 'Vagn Gade', 'Henning Stærk Jacobsen', 'Johnny Thingsager Madsen', 'JP', 'Søren Vistisen']"
235996,President Fetch,"['Molle', 'Alioscha Serge', 'Anderz Nielsen', 'Carsten', 'Jens', 'Chris ""Ant"" Juris, Morten Groser, Martin ""Morgengrim"" Larsen, Per Eriksen']","['Molle', 'Alioscha Serge', 'Anderz Nielsen', 'Carsten', 'Jens', 'Chris Ant Juris, Morten Groser, Martin Morgengrim Larsen, Per Eriksen']"
222043,Psyched Up Janis,['Sune Wagner'],['Sune Wagner']
239471,The Psyke Project,[],[]
962546,Rabalder,[],[]
825550,Ripe (band),"['Michael Bastholm Dahl', 'Jakob Højgård Olsen', 'Jeppe Høiby', 'Lars Byskov Madsen', 'Peter Egtved Christensen', 'Bob Thunder', '(', '2002', '-', '2009', ')', 'Oliver Weers', '(', '2005', '-', '2008', ')']","['Michael Bastholm Dahl', 'Jakob Højgård Olsen', 'Jeppe Høiby', 'Lars Byskov Madsen', 'Peter Egtved Christensen', 'Bob Thunder', 'Oliver Weers']"
320404,Rock Hard Power Spray,['Mattias Hundebøll'],['Mattias Hundebøll']
219719,Rockmaskinen (band),[],[]
355105,Rod (band),[],[]
341234,Rubber Kizz,"['Lars Iversen', 'Linda Bonde', 'Mikkel Dørig', 'Dan Hvidtfeldt Larsen', 'Miloud Carl Sabri']","['Lars Iversen', 'Linda Bonde', 'Mikkel Dørig', 'Dan Hvidtfeldt Larsen', 'Miloud Carl Sabri']"
107191,Røde Mor,[],[]
799675,Saint Rebel,"['Jonas Kaas', 'Lasse Hansen', 'Jesper Riis Kjærsgaard', 'Martin Højfeldt', 'Jakob Poppelvig']","['Jonas Kaas', 'Lasse Hansen', 'Jesper Riis Kjærsgaard', 'Martin Højfeldt', 'Jakob Poppelvig']"
116988,The Sandmen,"['Michael Illo Rasmussen', 'Allan Vegenfeldt', 'Stefan Moulvad', 'Ole Wennike, Stefan Jensen,', 'Sam Mitchell']","['Michael Illo Rasmussen', 'Allan Vegenfeldt', 'Stefan Moulvad', 'Sam Mitchell']"
416089,Savage Affair,"['Alex Nyborg Madsen', 'Torben Aalykke', 'Lars Vilmar Jensen', 'Martin Schwerin', 'Carsten Neumann', 'Bo Brinck', '.', 'Jens Peter ""Fjeder"" Stavnstrup - bas og kor']","['Alex Nyborg Madsen', 'Torben Aalykke', 'Lars Vilmar Jensen', 'Martin Schwerin', 'Carsten Neumann', 'Bo Brinck', 'Jens Peter Fjeder Stavnstrup']"
315272,Scatterbrain,"['Anders Brill', 'Jesper Siberg', 'Hilmer Hassig']","['Anders Brill', 'Jesper Siberg', 'Hilmer Hassig']"
974839,Secret Oyster,[],[]
646754,Shotgun Revolution,"['Ditlev Ulriksen', 'Martin Frank', 'Michael Venneberg', 'Kasper Lund', 'Henrik Berger']","['Ditlev Ulriksen', 'Martin Frank', 'Michael Venneberg', 'Kasper Lund', 'Henrik Berger']"
998645,Shubberne,"['Bosse Hall Christensen', 'Claus Asmussen', 'Willy Pedersen']","['Bosse Hall Christensen', 'Claus Asmussen', 'Willy Pedersen']"
398184,Sidste Ambulance,"['Bjarke Helmø', 'Thorbjørn Nyander Poulsen', 'Andreas Pallisgaard Hansen', 'Anders Danielsen']","['Bjarke Helmø', 'Thorbjørn Nyander Poulsen', 'Andreas Pallisgaard Hansen', 'Anders Danielsen']"
980663,Sing Sing Sing (band),"['Ivan Pedersen', 'Nina Forsberg', 'Alex Nyborg Madsen', 'Sascha Dupont', 'Søren Bomholt Jacobsen']","['Ivan Pedersen', 'Nina Forsberg', 'Alex Nyborg Madsen', 'Sascha Dupont', 'Søren Bomholt Jacobsen']"
139362,Singvogel,"['Andreas Hansen (Vokal, guitar)', 'Lotte Maxild (Klarinet, kor)', 'Jørgen Holm (Trommer)', 'Emil Brahe', '(Elmandolin)', 'Rikke Alminde (Monosynth, vokal)', 'Jens Balder (Trækbasun)', 'Lenny Davies (Guitar)']","['Andreas Hansen', 'Lotte Maxild', 'Jørgen Holm', 'Emil Brahe', '', 'Rikke Alminde', 'Jens Balder', 'Lenny Davies']"
173764,Sir Henry & His Butlers,['Ole Bredahl'],['Ole Bredahl']
380730,Skagarack,['Tommy Rasmussen'],['Tommy Rasmussen']
140167,Skousen & Ingemann,"['Niels Skousen', 'Peter Ingemann', 'Stig Møller', 'Tømrerclaus', 'Bjørn Uglebjerg']","['Niels Skousen', 'Peter Ingemann', 'Stig Møller', 'Tømrerclaus', 'Bjørn Uglebjerg']"
737309,Skullclub,"['Troels Bjorholm', 'Jonas Quist', 'Christoffer Skau', 'Andreas Steinmeyer', 'Ali Jablanowsky', 'Simon Møller Andersen', 'Jacob Skov Mikkelsen', 'Niels Bobs', 'Ole Møller (Ollie Kenivel)', 'Morten Husted', 'Andreas Oxholm', 'Christian Christensen (Pibs)', 'Thomas Ebdrup']","['Troels Bjorholm', 'Jonas Quist', 'Christoffer Skau', 'Andreas Steinmeyer', 'Ali Jablanowsky', 'Simon Møller Andersen', 'Jacob Skov Mikkelsen', 'Niels Bobs', 'Ole Møller', 'Morten Husted', 'Andreas Oxholm', 'Christian Christensen', 'Thomas Ebdrup']"
409947,Small,['Andreas Asingh'],['Andreas Asingh']
218217,Snuff Pop Inc.,"['Chris Juris', 'Max Funk', 'Red Ochre', 'Kristoffer Høeg, Jesper Staustrup, Steffen Andersen, Sonic']","['Chris Juris', 'Max Funk', 'Red Ochre', 'Kristoffer Høeg, Jesper Staustrup, Steffen Andersen, Sonic']"
86212,Sods,"['Steen Jørgensen', 'Peter Schneidermann', 'Knud Odde', 'Tomas Ortved', 'Morten Versner']","['Steen Jørgensen', 'Peter Schneidermann', 'Knud Odde', 'Tomas Ortved', 'Morten Versner']"
300637,Sofamania,[],[]
508423,Speak the King's,"['Asbjørn Hvelplund, Mads Elming, Jonas Andersen, Anders Nygaard']","['Asbjørn Hvelplund, Mads Elming, Jonas Andersen, Anders Nygaard']"
344854,Speaker Bite Me,"['Martin Ilja Ryum', 'Kasper Deurell', 'Emil Pilot Landgren', 'Signe Høirup Wille-Jørgensen']","['Martin Ilja Ryum', 'Kasper Deurell', 'Emil Pilot Landgren', 'Signe Høirup Wille-Jørgensen']"
826625,Spids Nøgenhat (band),"['Lorenzo Woodrose', 'Henrik ”Hobbitten” Klitstrøm', 'Morten ”Aron” Larsen', 'Anders ”Moody Guru” Skjødt', 'Anders ”Fuzz Daddy” Grøn']","['Lorenzo Woodrose', 'Henrik ”Hobbitten” Klitstrøm', 'Morten ”Aron” Larsen', 'Anders ”Moody Guru” Skjødt', 'Anders ”Fuzz Daddy” Grøn']"
238690,Spillemændene,[],[]
85917,Starfuckers,"['Ole Frø', 'Kim Larsen', 'Thomas Grue', 'Stig Møller', 'Jess Stæhr', 'Ken Gudman']","['Ole Frø', 'Kim Larsen', 'Thomas Grue', 'Stig Møller', 'Jess Stæhr', 'Ken Gudman']"
405790,Stoffer & Maskinen,"['Stoffer', 'Maskinen']","['Stoffer', 'Maskinen']"
151401,Street Beat,['Henrik Carlsen'],['Henrik Carlsen']
464802,SuperCharger,"['Linc Van Johnson (vokal)', 'Thomas Buchwald (lead guitar)', 'Benjamin Funk (trommer)', 'Karsten Dines (bas)', 'Ronni Claesen (klaver, mundharpe)', 'Peter Elnegaard (guitar),', 'Brian Jensen (bas), \nThomas Strømvig Pedersen (guitar), \nLars Rygaard (klaver, mundharpe),', 'Mikkel Neperus (vokal)']","['Linc Van Johnson', 'Thomas Buchwald', 'Benjamin Funk', 'Karsten Dines', 'Ronni Claesen', 'Mikkel Neperus']"
79854,Superheroes,"['Thomas Troelsen', 'Asger Tarpgaard']","['Thomas Troelsen', 'Asger Tarpgaard']"
90571,Superjeg,"['Peter Sommer', 'Carsten Valentin']","['Peter Sommer', 'Carsten Valentin']"
405792,Supershine,[],[]
76926,Swan Lee,"['Pernille Rosendahl', 'Jonas Struck', 'Emil Jørgensen', 'Tim Christensen']","['Pernille Rosendahl', 'Jonas Struck', 'Emil Jørgensen', 'Tim Christensen']"
975477,Taggy Tones,"['Emil Øelund', 'Jakob Øelund']","['Emil Øelund', 'Jakob Øelund']"
1116772,The Cliffters,"['Ole Rasmussen', 'Jan Petersen', 'Johnny Reimar', 'Jan Eliassson', 'Niels Werner)', 'Lars Kofoed', 'Mogens Petersen', 'Rudolph Hansen', 'Steen Hansen', 'Henning Schmager', ""Per Oluf 'Flob' Hansen"", 'Torben Sardorf']","['Ole Rasmussen', 'Jan Petersen', 'Johnny Reimar', 'Jan Eliassson', 'Lars Kofoed', 'Mogens Petersen', 'Rudolph Hansen', 'Steen Hansen', 'Henning Schmager', 'Per Oluf Flob Hansen', 'Torben Sardorf']"
405829,The Olympics,[],[]
1019406,The Poets,"['Troels Bech', 'Lars K. Andersen', 'Flemming Borby', 'Birgitte Bang', 'Mads Frederik', 'Susanne Unruh', 'Colin Wilkinson', 'Torben Engberg', 'Aud Wilken', 'Nikolaj Bülow Davidsen', 'Niclas Tange', 'Jens Nørremølle', 'Sanne Gottlieb', 'Frithjof Toksvig', 'John Krog Hansen']","['Troels Bech', 'Lars K. Andersen', 'Flemming Borby', 'Birgitte Bang', 'Mads Frederik', 'Susanne Unruh', 'Colin Wilkinson', 'Torben Engberg', 'Aud Wilken', 'Nikolaj Bülow Davidsen', 'Niclas Tange', 'Jens Nørremølle', 'Sanne Gottlieb', 'Frithjof Toksvig', 'John Krog Hansen']"
1120141,The Shout,"['Johannes Andersen', 'Søren Mikkelsen', 'Christer Båge', 'Morten Buchholtz', 'Joakim Øster', 'Dominic Gale']","['Johannes Andersen', 'Søren Mikkelsen', 'Christer Båge', 'Morten Buchholtz', 'Joakim Øster', 'Dominic Gale']"
405944,The William Blakes,"['Kristian Leth', 'Bo Rande', 'Frederik Nordsø', 'Fridolin Nordsø']","['Kristian Leth', 'Bo Rande', 'Frederik Nordsø', 'Fridolin Nordsø']"
405946,TheBoyTheManThePale,"['Anna Valgreen', 'Johannes Smed', 'Toke Hage']","['Anna Valgreen', 'Johannes Smed', 'Toke Hage']"
389024,TheCOMPANY,[],[]
492544,Thulebasen (band),[],[]
976804,Tiger Tunes,"['Klaus Hedegaard Nielsen (Mr. Q)', 'Kåre R. Hansen', 'Kristian Bang Noergaard (Knø)', 'Marie Højlund', 'Lasse Lakken']","['Klaus Hedegaard Nielsen', 'Kåre R. Hansen', 'Kristian Bang Noergaard', 'Marie Højlund', 'Lasse Lakken']"
405952,Twins Twins,"['Theis Ørntoft', 'Suni Argjaboda', 'Morten Hyldahl', 'Dennis DeBannic']","['Theis Ørntoft', 'Suni Argjaboda', 'Morten Hyldahl', 'Dennis DeBannic']"
139396,TYG,"['Steen Svare', 'Lars Mitch Fischermann', 'Wili Jønsson']","['Steen Svare', 'Lars Mitch Fischermann', 'Wili Jønsson']"
233049,UCR,"['Lars Bent Petersen', 'Søren Søndergaard Johnsen', 'Karsten Hjarsø', 'Lone', 'James', 'Filip', 'Bettina', 'Todd']","['Lars Bent Petersen', 'Søren Søndergaard Johnsen', 'Karsten Hjarsø', 'Lone', 'James', 'Filip', 'Bettina', 'Todd']"
536563,Ulige Numre,['Carl Emil Petersen'],['Carl Emil Petersen']
96709,Under Byen,"['Henriette Sennenvaldt', ', sang og tekster', 'Nils Gröndahl', ', violin, sav med mere', 'Morten Larsen', ', trommer', 'Sara Saxild', ', bas', 'Stine Sørensen', ', trommer, percussion og sang', 'Morten Svenstrup', ', cello', 'Anders Stochholm', ', guitar og harmonika', 'Thorbjørn Krogshede', ', klaver, orgel, basklarinet og komposition', 'Katrine Stochholm', ', 1995-2004,', 'melodika', ', sang, klaver, komposition', 'Myrtha Wolf', ', 1997-2004, cello', 'Anders Præstegård', ', 1996-1998, bas', 'Anna Budtz', ', 1996-1997, cello', 'Poul Rønnenfelt', ', 1996-1997, violin']","['Henriette Sennenvaldt', 'Nils Gröndahl', 'Morten Larsen', 'Sara Saxild', 'Stine Sørensen', 'Morten Svenstrup', 'Anders Stochholm', 'Thorbjørn Krogshede', 'Katrine Stochholm', 'Myrtha Wolf', 'Anders Præstegård', 'Anna Budtz', 'Poul Rønnenfelt']"
944515,Velvet Volume,[],[]
124738,VETO (band),"['Troels Abrahamsen', '– Vokal, synth', 'David Krogh Andersen', '– Guitar', 'Mark Lee', '– Guitar, synth', 'Jens Skov Thomsen', '– Bas, backing vocals', 'Mads Hasager', '– Trommer']","['Troels Abrahamsen', 'David Krogh Andersen', 'Mark Lee', 'Jens Skov Thomsen', 'Mads Hasager']"
135600,Volbeat,"['Michael Poulsen', 'Jon Larsen', 'Anders Kjølholm', 'Franz Gottschalk', 'Thomas Bredahl', 'Rob Caggiano', 'Kaspar Boye Larsen', 'Teddy Vang']","['Michael Poulsen', 'Jon Larsen', 'Anders Kjølholm', 'Franz Gottschalk', 'Thomas Bredahl', 'Rob Caggiano', 'Kaspar Boye Larsen', 'Teddy Vang']"
739789,Voss Torp Brill,"['Johnny Voss', 'Nils Torp', 'Anders Brill']","['Johnny Voss', 'Nils Torp', 'Anders Brill']"
225166,Waking Life,[],[]
121702,Walkers,"['Torben Lendager', 'Poul Dehnhardt']","['Torben Lendager', 'Poul Dehnhardt']"
405957,White Pony,['Pato Siebenhaar'],['Pato Siebenhaar']
280341,The Whiteouts,"['P', 'Jesper Binzer']","['P', 'Jesper Binzer']"
405958,WhoMadeWho,['Tomas Barfod'],['Tomas Barfod']
399120,Wolfkin,"['Christian Gotfredsen', 'Lars Vognstrup']","['Christian Gotfredsen', 'Lars Vognstrup']"
400033,Yellowish,[],[]
139426,Young Flowers,"['Peer Frost Johansson', 'Peter Ingemann', 'Ken Gudman']","['Peer Frost Johansson', 'Peter Ingemann', 'Ken Gudman']"
1121376,Zar Paulo,"['Johan Horsmans', 'Anton Breinbjerg', 'Emil Vammen', 'Tobias Schou', 'Martin Kleberg']","['Johan Horsmans', 'Anton Breinbjerg', 'Emil Vammen', 'Tobias Schou', 'Martin Kleberg']"
686430,Brdr. Hellemann,[],[]
1084349,Fjernsyn (band),"['Bo Feierskov', 'Hans Henrik Præstbro', 'Per Toftager']","['Bo Feierskov', 'Hans Henrik Præstbro', 'Per Toftager']"
264898,Skabelon:Tolkien Ensemble,[],[]
622855,4 Mand Høj,[],[]
728866,5 x Kaj,"['Peter Bay', 'Bertel Abildgaard']","['Peter Bay', 'Bertel Abildgaard']"
435345,A Mothers Voice,[],[]
1167229,Agitpop,[],[]
28512,Alexanderband,"['Esben Rud Skovgaard', 'Jesper Stensgaard', 'Sune Watts', 'Kasper Tøstesen']","['Esben Rud Skovgaard', 'Jesper Stensgaard', 'Sune Watts', 'Kasper Tøstesen']"
692953,Alice & Rita,"['Alice', 'Rita']","['Alice', 'Rita']"
798355,Alpha Centauri,"['Bjarne Roupé', 'Bo Stief', 'Palle Mikkelborg', 'Jørgen Emborg', 'Ole Theill']","['Bjarne Roupé', 'Bo Stief', 'Palle Mikkelborg', 'Jørgen Emborg', 'Ole Theill']"
118012,Amdi Petersens Armé,[],[]
206503,Analogik,"['Asger Strandby', 'Theis Bror', 'Jesper Kobberø', 'Bjørnern']","['Asger Strandby', 'Theis Bror', 'Jesper Kobberø', 'Bjørnern']"
1128727,Ancient Tribe,[],[]
640581,Anima (band),"['Kenneth Knudsen', 'Mikkel Nordsø', 'Michael Friis', 'Ole Theill', 'Cy Nicklin']","['Kenneth Knudsen', 'Mikkel Nordsø', 'Michael Friis', 'Ole Theill', 'Cy Nicklin']"
435382,Anna Teuila,[],[]
119582,Anne Linnet Band,"['Anne Linnet', 'Lis Sørensen', 'Sanne Salomonsen', 'Holger Laumann', 'Jan Glæsel', 'Flemming Ostermann']","['Anne Linnet', 'Lis Sørensen', 'Sanne Salomonsen', 'Holger Laumann', 'Jan Glæsel', 'Flemming Ostermann']"
796672,Anti Social Media,"['Philip Thornhill - sang', 'Nikolaj Tøth Andersen - guitar', 'David Rønne Vang - bas', 'Emil Vissing Christensen - trommer', '[', '1', ']']","['Philip Thornhill', 'Nikolaj Tøth Andersen', 'David Rønne Vang', 'Emil Vissing Christensen']"
787532,Aphyxion,[],[]
140567,Asbest (band),[],[]
1138976,Asinhell,['Michael Poulsen'],['Michael Poulsen']
911503,Athelas Sinfonietta,[],[]
120765,B-Boys,"['Kåve Pour', 'Mathias Saabye', 'Sebastian Aagaard-Williams']","['Kåve Pour', 'Mathias Saabye', 'Sebastian Aagaard-Williams']"
1157549,B.O.C,"['Gilli', 'Kesi', 'Benny Jamz']","['Gilli', 'Kesi', 'Benny Jamz']"
429427,Back to Back,"['Morten Remar', 'Nis Bøgvad']","['Morten Remar', 'Nis Bøgvad']"
413207,Backseat,"['Helge Solberg', 'Ivan Pedersen', 'Søren Jacobsen', 'Henrik Askou', 'Martin Jønsson', 'Carsten Millner', 'Esben Just', 'Lars Krarup', 'Otto Sidenius', 'Claes Antonsen', 'Lars Mitch Fischermann', 'Olle Nyberg']","['Helge Solberg', 'Ivan Pedersen', 'Søren Jacobsen', 'Henrik Askou', 'Martin Jønsson', 'Carsten Millner', 'Esben Just', 'Lars Krarup', 'Otto Sidenius', 'Claes Antonsen', 'Lars Mitch Fischermann', 'Olle Nyberg']"
445470,Bahnhof,[],[]
271409,Balkan trioen,"['Peter Bastian', 'Egon Aagaard', 'John Ravn']","['Peter Bastian', 'Egon Aagaard', 'John Ravn']"
344297,Balstyrko,"['Blæs Bukki', 'Ormen', 'Ane Trolle']","['Blæs Bukki', 'Ormen', 'Ane Trolle']"
964321,Bandjo,[],[]
411296,Basix,"['Morten Sønderby', 'Anders Ørsager', 'Niels Nørgaard', 'John Kjøller', 'Peter Bach', 'Toke Wulf', 'Morten Kjær', 'Jakob Hejlesen', 'Osman Kingo', 'Christoffer Brodersen', 'Thomas Laursen']","['Morten Sønderby', 'Anders Ørsager', 'Niels Nørgaard', 'John Kjøller', 'Peter Bach', 'Toke Wulf', 'Morten Kjær', 'Jakob Hejlesen', 'Osman Kingo', 'Christoffer Brodersen', 'Thomas Laursen']"
119589,Bazaar (band),"['Peter Bastian', 'Anders Koppel', 'Flemming Quist Møller', 'Mehmet Ozan']","['Peter Bastian', 'Anders Koppel', 'Flemming Quist Møller', 'Mehmet Ozan']"
1051169,Bellybutton,[],[]
918070,BengtssonSydow,"['Hans Sydow', 'Ulle Bjørn Bengtsson']","['Hans Sydow', 'Ulle Bjørn Bengtsson']"
47048,Bersærk,"['Lars Evers', 'Simon Gleerup Meiner', 'Jens Moss Thorsen', 'Rene Holmboe', 'Bastian Popp', 'Mads Fjeldvig', 'Torben Egebjerg', 'Casper Roland Popp']","['Lars Evers', 'Simon Gleerup Meiner', 'Jens Moss Thorsen', 'Rene Holmboe', 'Bastian Popp', 'Mads Fjeldvig', 'Torben Egebjerg', 'Casper Roland Popp']"
89426,Bikstok,"['EaggerStunn', 'Blæs Bukki', 'Pharfar']","['EaggerStunn', 'Blæs Bukki', 'Pharfar']"
469361,Bjørn & Okay,"['Bjørn Hansen', 'Benny Jensen', 'Svend Aage Studsgaard', 'Erik Madsen', 'Hugo Larsen', 'Poul Jørgensen', 'Ove Faarbæk', 'Robert Christensen', 'Bjarne Ryming']","['Bjørn Hansen', 'Benny Jensen', 'Svend Aage Studsgaard', 'Erik Madsen', 'Hugo Larsen', 'Poul Jørgensen', 'Ove Faarbæk', 'Robert Christensen', 'Bjarne Ryming']"
457936,Black Leather Machine,[],[]
387230,Blast,"['Bjarne Thanning', 'med flere']",['Bjarne Thanning']
166473,BliGlad,"['Christopher Mclaughlin', 'Kristian Nordentoft', 'Benjamin Lesak Jensen', 'Daniel Rosenthal Plon', 'Max Buthke', 'Kasper Brinck', 'Cyron Melville', 'Jesper Iversen']","['Christopher Mclaughlin', 'Kristian Nordentoft', 'Benjamin Lesak Jensen', 'Daniel Rosenthal Plon', 'Max Buthke', 'Kasper Brinck', 'Cyron Melville', 'Jesper Iversen']"
229485,Bliss,"['Steffen Aaskoven', 'Marc-George Anderson', 'Salvador ""Tchando"" Embalo', 'Alexandra Hamnede', 'Klaus Bau Jensen']","['Steffen Aaskoven', 'Marc-George Anderson', 'Salvador Tchando Embalo', 'Alexandra Hamnede', 'Klaus Bau Jensen']"
251169,Blue Boys,"['John Mogensen', 'John Nielsen', 'Jørgen Pedersen', 'Bjarne Rydstrøm', 'Palle Reinert']","['John Mogensen', 'John Nielsen', 'Jørgen Pedersen', 'Bjarne Rydstrøm', 'Palle Reinert']"
215299,Blue Foundation,"['Tobias Wilner', 'Bo Rande']","['Tobias Wilner', 'Bo Rande']"
504436,Blue Notes,['Flemming Werge'],['Flemming Werge']
435609,Blue Sun,[],[]
325535,Blues Brothers Souvenir Show,[],[]
421199,Blunt (band),"['Jimmie Tagesen', 'Jakob Barndorff-Nielsen', 'Jacob Lyngsdal', 'Mikkel Govertz', 'Anders Enøe', 'Lasse Enøe', 'Niels Bach Storgaard', 'Hans Peter Mululu', 'Viggo Jørgensen', 'Jesper Friis', 'Günther Bach', 'Martin Robert Madsen', 'Mads Schaarup', 'Feike van der Woude']","['Jimmie Tagesen', 'Jakob Barndorff-Nielsen', 'Jacob Lyngsdal', 'Mikkel Govertz', 'Anders Enøe', 'Lasse Enøe', 'Niels Bach Storgaard', 'Hans Peter Mululu', 'Viggo Jørgensen', 'Jesper Friis', 'Günther Bach', 'Martin Robert Madsen', 'Mads Schaarup', 'Feike van der Woude']"
480178,Blåbærrene,[],[]
259337,Den Danske Blæserkvintet,"['Verner Nicolet', 'Bjørn Carl Nielsen', 'Søren Birkelund', 'Peter Bastian', 'Bjørn Fosdal']","['Verner Nicolet', 'Bjørn Carl Nielsen', 'Søren Birkelund', 'Peter Bastian', 'Bjørn Fosdal']"
253105,Blæserkvintetten af 1932,[],[]
487738,Danskbob,"['Ole Irenæus', 'Uno Wierød']","['Ole Irenæus', 'Uno Wierød']"
387451,Bodebrixen,[],[]
524990,Boghandle,[],[]
524583,Boho Dancer,[],[]
464189,Boil,[],[]
1065748,Boilers,['Andreas Jensen\nAnders Kanstrup'],['Andreas Jensen\nAnders Kanstrup']
387169,Boogie Blues Band,[],[]
249345,Boolsen kvartetten,"['Valdemar Boolsen', 'Ole Mortensen', 'Ove Fangel Olsen', 'Svend Aage Møller']","['Valdemar Boolsen', 'Ole Mortensen', 'Ove Fangel Olsen', 'Svend Aage Møller']"
