pageid,title,member,cleaned_member
395203,The Broken Beats,"['Kim Munk', ',', 'Simon Stadsholt', ',', 'Henrik Lynbech', ',', 'Mads Tønder']","['Kim Munk', 'Simon Stadsholt', 'Henrik Lynbech', 'Mads Tønder']"
418711,The Bronson Brothers,"['Ted Bronson, Clyde Bronson, Malle, Zeu, Mr. Toby Diamonds']","['Ted Bronson, Clyde Bronson, Malle, Zeu, Mr. Toby Diamonds']"
653128,Buoyant Blue,[],[]
501246,Cancer (band),[],[]
121899,Carpark North,"['Lau Højen', 'Søren Balsner', 'Morten Thorhauge']","['Lau Højen', 'Søren Balsner', 'Morten Thorhauge']"
448785,Chainsaw Eaters,"['Kim Wolf Andersen', 'Lars Buch Laursen']","['Kim Wolf Andersen', 'Lars Buch Laursen']"
974892,Charlatangruppen,['Thorstein Thomsen'],['Thorstein Thomsen']
178662,Christianshavns Bluesband,"['Lone Kellermann', 'Franz Beckerlee', 'Sten Haxø', 'Søren Berlev', 'Peter Mandorf', 'Krølle Erik', 'Pede Meyer']","['Lone Kellermann', 'Franz Beckerlee', 'Sten Haxø', 'Søren Berlev', 'Peter Mandorf', 'Krølle Erik', 'Pede Meyer']"
481670,The City Kill,[],[]
451774,City-X,[],[]
199043,Cola Freaks,"['Mads (Vokal)', 'Morten (Guitar)', 'Jacob (Trommer)', 'Anders (Bas)', 'Kasper (Guitar)', 'Kristoffer (Synth)']","['Mads', 'Morten', 'Jacob', 'Anders', 'Kasper', 'Kristoffer']"
402911,The Company,['Rasmus Hedegaard'],['Rasmus Hedegaard']
82549,Coolsville,[],[]
459233,Culpeper's Orchard,[],[]
200537,"Cy, Maia & Robert",[],[]
826862,Daisy (band),"['Lars Muhl', 'Frank Lorentzen', 'Eigil Madsen', 'Lars Schrøder', 'Søren Madsen', 'Poul Erik Veigaard', 'Flemming Walsøe Therkelsen', 'Ulf Larsen', 'Erik Falck Johansen', 'Jacob Perbøll']","['Lars Muhl', 'Frank Lorentzen', 'Eigil Madsen', 'Lars Schrøder', 'Søren Madsen', 'Poul Erik Veigaard', 'Flemming Walsøe Therkelsen', 'Ulf Larsen', 'Erik Falck Johansen', 'Jacob Perbøll']"
563081,Dance with Dirt,"['Magnus ""Fra Ramasjang"" Jacobsen', 'Kristoffer Veirum', 'Mikkel Frej Eriksen', 'Jonathan Lyby', 'Jess Gertsen (2008-14)']","['Magnus Fra Ramasjang Jacobsen', 'Kristoffer Veirum', 'Mikkel Frej Eriksen', 'Jonathan Lyby', 'Jess Gertsen']"
905768,Day Of Phoenix,"['Erik Stedt', '(bas)', 'Hans Lauridsen', '(vokal)', 'Henrik Friis', '(trommer)', 'Jess Stæhr', '(bas)', 'Karsten Lyng', '(guitar)']","['Erik Stedt', '', 'Hans Lauridsen', '', 'Henrik Friis', '', 'Jess Stæhr', '', 'Karsten Lyng', '']"
948279,De Forbandede,"['Peter Østergaard Christensen', 'Nicolei Martin Aagaard Rasmussen', 'Michael Hansen Buur', 'Ricky Christensen']","['Peter Østergaard Christensen', 'Nicolei Martin Aagaard Rasmussen', 'Michael Hansen Buur', 'Ricky Christensen']"
979006,De Underjordiske,"['Andreas Bengtsen (guitar)', 'Kristian Bengtsen (guitar)', 'Peter Kure (vokal)', 'Thomas Balslev Brandt (trommer)', 'Anders Colstrup Hvass (bas)', 'Christian Vind Skibdal (bas)', 'Astrid Samuelsen (bas)']","['Andreas Bengtsen', 'Kristian Bengtsen', 'Peter Kure', 'Thomas Balslev Brandt', 'Anders Colstrup Hvass', 'Christian Vind Skibdal', 'Astrid Samuelsen']"
379473,Dead End City,"['Mads Donkin', 'Tue Johansson', 'Nikolaj Kindtler', 'Anton Bak', 'Emil Dinsen']","['Mads Donkin', 'Tue Johansson', 'Nikolaj Kindtler', 'Anton Bak', 'Emil Dinsen']"
263144,Dear,"['Laust Sonne', ', vokal og guitar', 'Jesper Elnegaard', ', trommer', 'Kåre Joensen', ', bas og kor', 'Louise Preisler', ', keyboard og kor', 'Johan Stahl', ', trommer', 'Oliver Hoiness', ', guitar', 'Rune Kjeldsen', ', guitar']","['Laust Sonne', 'Jesper Elnegaard', 'Kåre Joensen', 'Louise Preisler', 'Johan Stahl', 'Oliver Hoiness', 'Rune Kjeldsen']"
976878,Death By Kite,"['Gøtzsche Lange', 'Sidsel Marie Hermansen', 'Kristian Kimer', 'Mikkel Holtoug']","['Gøtzsche Lange', 'Sidsel Marie Hermansen', 'Kristian Kimer', 'Mikkel Holtoug']"
668320,Death Valley Sleepers,[],[]
139727,The Defenders,[],[]
458130,Delta Blues Band,"['Troels Jensen', 'Knut Henriksen', 'Danny Linde']","['Troels Jensen', 'Knut Henriksen', 'Danny Linde']"
477720,Delta Cross Band,[],[]
462520,Diamond Drive,"['Patrick McCaffrey', 'Anders Berg', 'Kalle Herborg', 'Troels Pedersen', 'Nikolaj jensen', 'Jens Moss', 'Christoffer Vengsgaard']","['Patrick McCaffrey', 'Anders Berg', 'Kalle Herborg', 'Troels Pedersen', 'Nikolaj jensen', 'Jens Moss', 'Christoffer Vengsgaard']"
402919,Diefenbach,"['Kenneth Sarup', 'Allan Mattsson', 'Lasse Lyngbo', 'Stefan Gejsing', 'Nicolaj Strøyer Christophersen']","['Kenneth Sarup', 'Allan Mattsson', 'Lasse Lyngbo', 'Stefan Gejsing', 'Nicolaj Strøyer Christophersen']"
147627,Diva (rock),[],[]
43911,Dizzy Mizz Lizzy,"['Tim Christensen', 'Søren Friis', 'Martin Nielsen']","['Tim Christensen', 'Søren Friis', 'Martin Nielsen']"
144454,Dream City,[],[]
217706,Dream Police,"['Johnny Concrete', 'Steen René Christiansen', 'Allan Lauritzen', 'Jan Schriver', '(', '1977', '-', '1978', '),', '1979', ',', '1980', ',', '1984', 'S.E. Frog', '(', '1977', '-', '1979', '),', '1980', ',', '1984', ', (', '1986', '-', '1987', ')', 'Claus Buldermave', '(', '1977', '-', '1979', ')', 'Günther Paulsen', 'Felix Paulsen', 'Zvika Barash', 'Christian Boddum gtr. - 2. periode (Cold winds)']","['Johnny Concrete', 'Steen René Christiansen', 'Allan Lauritzen', 'Jan Schriver', 'S.E. Frog', 'Claus Buldermave', 'Günther Paulsen', 'Felix Paulsen', 'Zvika Barash']"
117588,Düreforsög,"['Boriz S', 'Nis B', 'Mads H', 'Andreas H', 'Kaspar L', 'Jess W', 'Rune T']","['Boriz S', 'Nis B', 'Mads H', 'Andreas H', 'Kaspar L', 'Jess W', 'Rune T']"
410287,Einstein (rockband),"['Michael Hardinger', 'Bosse Hall Christensen', 'Kim Daugaard', 'Kasper Daugaard', 'Gorm Bull Sarning']","['Michael Hardinger', 'Bosse Hall Christensen', 'Kim Daugaard', 'Kasper Daugaard', 'Gorm Bull Sarning']"
731858,Electric Guitars,"['Mika Vandborg', 'Søren Andersen']","['Mika Vandborg', 'Søren Andersen']"
256322,Elevatordrengene,"['Thomas Helmig', 'Palle Torp', 'Claes Antonsen', 'Jesper Mardahl']","['Thomas Helmig', 'Palle Torp', 'Claes Antonsen', 'Jesper Mardahl']"
376691,Entakt,"['Jonas Villumsen', 'Kristian Martinsen', 'Abas Bathily', 'Nicolai Olsen', 'Henrik Gibo', 'Henning Villumsen', 'Søren Gemmer']","['Jonas Villumsen', 'Kristian Martinsen', 'Abas Bathily', 'Nicolai Olsen', 'Henrik Gibo', 'Henning Villumsen', 'Søren Gemmer']"
1169195,Bruger:Epokeband/sandkasse,[],[]
562518,Escape Artists,"['Torben Johansen', 'Søren Laugesen', 'Benny Woitowitz', 'Finn Detlef']","['Torben Johansen', 'Søren Laugesen', 'Benny Woitowitz', 'Finn Detlef']"
792529,Essence (band),"['Lasse Skov', 'Mark Drastrup', 'Rasmus Munch', 'Nikolaj Kjærgaard', 'Jens Martin Haumann', 'Tobias Nefer']","['Lasse Skov', 'Mark Drastrup', 'Rasmus Munch', 'Nikolaj Kjærgaard', 'Jens Martin Haumann', 'Tobias Nefer']"
497612,Even Dwarfs,[],[]
403315,Factory45,"['Esben Busch', 'Charlie', 'Morten', 'Jonathan']","['Esben Busch', 'Charlie', 'Morten', 'Jonathan']"
495489,Fahrenheit (dansk band),[],[]
206217,The Fashion,[],[]
501263,Feed Back,[],[]
540173,The Felines,"['Asta Bjerre', 'Ditte Melgaard', 'Mei Long Bao']","['Asta Bjerre', 'Ditte Melgaard', 'Mei Long Bao']"
87961,Figurines,[],[]
1113815,First flush,[],[]
219434,Five Tonnys,"['Svend Christiansen', 'Knud Thormod', 'Tonny Elm Larsen', 'Bjarne Bøgelund Jensen', 'Benni Christiansen']","['Svend Christiansen', 'Knud Thormod', 'Tonny Elm Larsen', 'Bjarne Bøgelund Jensen', 'Benni Christiansen']"
188771,Frank Rubino,"['Frank Lundum', 'Tommy Lui', 'Lars Møller', 'Jan Møller', 'Morten Kjeldsen', 'Christian Bach']","['Frank Lundum', 'Tommy Lui', 'Lars Møller', 'Jan Møller', 'Morten Kjeldsen', 'Christian Bach']"
191534,Frede Fup,[],[]
238250,Free To Choose,"['Henrik Carmel', '(', 'Sang/Guitar', ')', 'Morten Carmel', '(', 'Trommer', ')', 'Kim Bille Gram', '(', 'Bas', ')', 'Ole Poulsen', '(', '1984', '-', '1986', ')', 'Ole Søbæk Christiansen', '(', '1996', '-', '2010', ')']","['Henrik Carmel', 'Morten Carmel', 'Kim Bille Gram', 'Ole Poulsen', 'Ole Søbæk Christiansen']"
971317,Fribytterdrømme (rockgruppe),"['Tobias Smith Agger', 'Lau Ingemann Vinther Pedersen', 'Felix Corrigan Suneson', 'Simon Arendal Jørgensen', 'Alexander Mahaffy', 'Gabriele Amatulli', 'Tor Amdisen', 'Thure Spang Andersson']","['Tobias Smith Agger', 'Lau Ingemann Vinther Pedersen', 'Felix Corrigan Suneson', 'Simon Arendal Jørgensen', 'Alexander Mahaffy', 'Gabriele Amatulli', 'Tor Amdisen', 'Thure Spang Andersson']"
294803,Frodegruppen40,[],[]
237238,Frogstone,[],[]
1124509,Fräulein (band),"['Anna Halkjær Langgaard Nielsen', 'Emil Mathiasen', 'Jeppe René Veje Bredahl.']","['Anna Halkjær Langgaard Nielsen', 'Emil Mathiasen']"
233031,Gangway,"['Allan Jensen', 'Henrik Balling', 'Torben Johansen', 'Cai Bojsen-Møller', 'Gorm Ravn-Jonsen', 'Jan Christensen']","['Allan Jensen', 'Henrik Balling', 'Torben Johansen', 'Cai Bojsen-Møller', 'Gorm Ravn-Jonsen', 'Jan Christensen']"
153093,Grand Avenue,['Rasmus Walter Hansen'],['Rasmus Walter Hansen']
204841,Granmakathryn,"['""', 'Don Kippers', '""', '""', 'Marv Halfkinson', '""', '""', 'Johnny Inkasso', '""']","['Don Kippers', 'Marv Halfkinson', 'Johnny Inkasso']"
854972,Grumpynators,"['Christian Nørgaard', 'Emil Øelund', 'Jakob Øelund', 'Per Fisker']","['Christian Nørgaard', 'Emil Øelund', 'Jakob Øelund', 'Per Fisker']"
190188,Hackensack,"['Martin Miehe-Renard', 'Jan Irhøj', 'Anders Bøgelund', 'Jakob Gram', 'Jesper Falkensteen']","['Martin Miehe-Renard', 'Jan Irhøj', 'Anders Bøgelund', 'Jakob Gram', 'Jesper Falkensteen']"
917650,Halberg & Friends,"['Poul Halberg', 'Jette Schandorf', 'Jan Sivertsen']","['Poul Halberg', 'Jette Schandorf', 'Jan Sivertsen']"
469752,Hardinger Band,"['Michael Hardinger', 'Jørgen Thorup', 'B-Joe Johansen', 'Kim Daugaard', 'Flemming Olsen']","['Michael Hardinger', 'Jørgen Thorup', 'B-Joe Johansen', 'Kim Daugaard', 'Flemming Olsen']"
496641,Highway Child,[],[]
201162,The Hitmakers,"['Jørgen Wulff Krabbenhøft', 'Benny Qvotrup', 'Steen Bergstrøm', 'Erik Grønfeldt Hansen', 'Torben Orls Weinholt Sardorf', 'Erik Grønfeldt Hansen', 'Mogens »Django«\xa0Petersen', 'Bjarne de la Motte']","['Jørgen Wulff Krabbenhøft', 'Benny Qvotrup', 'Steen Bergstrøm', 'Erik Grønfeldt Hansen', 'Torben Orls Weinholt Sardorf', 'Erik Grønfeldt Hansen', 'Mogens »Django«\xa0Petersen', 'Bjarne de la Motte']"
441247,Hola Ghost,"['Hola Pete', 'Jeppe B.', 'Ghost Brother']","['Hola Pete', 'Ghost Brother']"
175270,Hotel Hunger,['Jimmy Jørgensen'],['Jimmy Jørgensen']
435368,Hunch Bettors,"['Kasper Holm Wejse', 'Jesper Bagger Hviid', 'Jeppe Ladegaard', 'Jon Marius Brogaard Aeppli']","['Kasper Holm Wejse', 'Jesper Bagger Hviid', 'Jeppe Ladegaard', 'Jon Marius Brogaard Aeppli']"
100742,I Am Bones,[],[]
404088,I Got You On Tape,['Jacob Bellens'],['Jacob Bellens']
479972,Iceage,"['Johan Wieth', 'Elias Bender Rønnenfelt']","['Johan Wieth', 'Elias Bender Rønnenfelt']"
179130,Jackie Boo Flight,"['Hans Erik Lerchenfeld', 'Sven Foged', 'Johnny Thingsager Madsen', 'Kresten Lassen', 'Henning Stærk', '.']","['Hans Erik Lerchenfeld', 'Sven Foged', 'Johnny Thingsager Madsen', 'Kresten Lassen', 'Henning Stærk']"
393543,The Jesus Revolution,[],[]
199063,Jetpetz,[],[]
181702,Jomfru Ane Band,[],[]
993708,Junkyard Drive,"['Claus Munch', 'Kristian Johansen', 'Kristoffer Kristensen', 'Oliver Hartmann', 'Mikkel Sjus', 'Birk (Emil Birkmose), Benjamin Høyer']","['Claus Munch', 'Kristian Johansen', 'Kristoffer Kristensen', 'Oliver Hartmann', 'Mikkel Sjus', 'Birk, Benjamin Høyer']"
176895,Jupiter Day,"['Michael Radmer Johannisson', 'Jesper Wagner', 'Thomas Sørensen', 'Phillip Sørensen', 'Maje Wernberg Clemmesen', 'Mark Rosenér']","['Michael Radmer Johannisson', 'Jesper Wagner', 'Thomas Sørensen', 'Phillip Sørensen', 'Maje Wernberg Clemmesen', 'Mark Rosenér']"
1128406,Kalaset (band),"['Morten Holm Ørsager', 'Sidsel Due', 'Jakob Rønn', 'Anders Mygind', 'Henrik Skov']","['Morten Holm Ørsager', 'Sidsel Due', 'Jakob Rønn', 'Anders Mygind', 'Henrik Skov']"
360791,Kellermensch,[],[]
975788,Kick The Kangaroo,[],[]
946445,The KillerHertz,"['Thomas\xa0Trold, Kent KillerHertz, Jonas Roxx og Jakob Bo Nielsen', 'Tais Pedersen, Stefan Sørensen, Rune Gregersen']","['Thomas\xa0Trold, Kent KillerHertz, Jonas Roxx og Jakob Bo Nielsen', 'Tais Pedersen, Stefan Sørensen, Rune Gregersen']"
502203,King Diamond (band),['Michael Denner'],['Michael Denner']
404283,Kings Of Dark Disco,[],[]
105478,Kira & The Kindred Spirits,"['Kira Skov', 'Jesper Lind', 'Rune Kjeldsen', 'Nicolai Munch-Hansen']","['Kira Skov', 'Jesper Lind', 'Rune Kjeldsen', 'Nicolai Munch-Hansen']"
58994,Kitty Wu,"['Robert Lund', 'Allan Schøneberg', 'Claus Bergmann']","['Robert Lund', 'Allan Schøneberg', 'Claus Bergmann']"
345811,Knasterne,"['Carsten Mortensen', 'Henrik Overgaard', 'Lars Hansen', 'Lars Thaulow', 'Ole Hansen']","['Carsten Mortensen', 'Henrik Overgaard', 'Lars Hansen', 'Lars Thaulow', 'Ole Hansen']"
147662,Kogt i Roen,"['Mikkel Christensen', 'Tobias Christensen', 'Michael Sørensen']","['Mikkel Christensen', 'Tobias Christensen', 'Michael Sørensen']"
142728,KoLeN',"['Jonas Kaas', '(', 'sang', ',', 'akustisk guitar', ')', 'Allan Blumensen', '(', 'guitar', ')', 'Martin Højfeldt', '(', 'guitar', ')', 'Mark Ramirez', '(', 'bas', ')', 'Jesper Riis', '(', 'trommer', ')']","['Jonas Kaas', 'Allan Blumensen', 'Martin Højfeldt', 'Mark Ramirez', 'Jesper Riis']"
469754,Krisekoret,[],[]
689841,Kræn Bysted's,"['Jakob Dalsgaard', 'Lars Dam', 'Ole Grønbæk', 'Karsten Kongsøre', 'Lars Lilholt', 'Inger Nyholm', 'Jacob Ohrt', 'Jens Jørgen Pedersen', 'Johs Stærk']","['Jakob Dalsgaard', 'Lars Dam', 'Ole Grønbæk', 'Karsten Kongsøre', 'Lars Lilholt', 'Inger Nyholm', 'Jacob Ohrt', 'Jens Jørgen Pedersen', 'Johs Stærk']"
226757,Langsyne,[],[]
404288,Lars & the Hands of Light,"['Lars Vognstrup', 'Line Vognstrup', 'Kristian Mondrup', 'John de Lira', 'Mikkel Andersen', 'Peter Leth', 'Thomas Styg']","['Lars Vognstrup', 'Line Vognstrup', 'Kristian Mondrup', 'John de Lira', 'Mikkel Andersen', 'Peter Leth', 'Thomas Styg']"
87957,Larsen and Furious Jane,"['Keld Jørgensen', 'Tom Jørgensen', 'Mikkel Bolding', 'Tore Johansen', 'Torsten Larsen']","['Keld Jørgensen', 'Tom Jørgensen', 'Mikkel Bolding', 'Tore Johansen', 'Torsten Larsen']"
344745,Last Mile,"['Peter Høj Larsen', 'Lennart Egon Hansen', 'Jacob Bredahl']","['Peter Høj Larsen', 'Lennart Egon Hansen', 'Jacob Bredahl']"
183110,Led Zeppelin Jam,"['Thomas Carlsen', 'Henrik Tvede', 'Carsten Neumann', 'Lars Vilmar Jensen', 'Simon Vilmar Jensen', 'Martin Schwerin', 'Ivan Horn', 'Michael Friis', '[', '2', ']', 'Peter Andersen', 'Erik Hagström ( Trommeslager)', 'Tim Christensen', 'Alex Nyborg Madsen', '[', '3', ']']","['Thomas Carlsen', 'Henrik Tvede', 'Carsten Neumann', 'Lars Vilmar Jensen', 'Simon Vilmar Jensen', 'Martin Schwerin', 'Ivan Horn', 'Michael Friis', 'Peter Andersen', 'Erik Hagström', 'Tim Christensen', 'Alex Nyborg Madsen']"
141315,Les Rivals,"['Peer Frost Johansson', 'Flemming Preisler', 'Henrik Hviid Carlsen', 'Bjørn Uglebjerg']","['Peer Frost Johansson', 'Flemming Preisler', 'Henrik Hviid Carlsen', 'Bjørn Uglebjerg']"
203543,The Lips,[],[]
161176,Lone Kellermann og Rockbandet,"['Lone Kellermann', 'Bjørn Uglebjerg', 'Joachim Ussing', 'Ivan Horn', 'Thomas Grue', 'Nils Henriksen', 'Wili Jønsson', 'Billy Cross']","['Lone Kellermann', 'Bjørn Uglebjerg', 'Joachim Ussing', 'Ivan Horn', 'Thomas Grue', 'Nils Henriksen', 'Wili Jønsson', 'Billy Cross']"
40930,Lost Kids,"['Jan Jet', 'Kasper', 'Henrik', 'Bent', 'Lisbeth', 'Mek Pek', 'Kate Svanholm']","['Jan Jet', 'Kasper', 'Henrik', 'Bent', 'Lisbeth', 'Mek Pek', 'Kate Svanholm']"
424538,Luksus (band),"['Lise Westzynthius', 'Mikael Simpson', 'Henrik Vibskov']","['Lise Westzynthius', 'Mikael Simpson', 'Henrik Vibskov']"
90772,Magtens Korridorer,"['Johan Olsen', 'Anders Ramhede', 'Niklas Schneidermann', 'Rasmus Kern', 'Terkel Møhl', 'Peter Bregnsbo', 'Jacob Ihlemann', 'Henrik Dylmer']","['Johan Olsen', 'Anders Ramhede', 'Niklas Schneidermann', 'Rasmus Kern', 'Terkel Møhl', 'Peter Bregnsbo', 'Jacob Ihlemann', 'Henrik Dylmer']"
425194,Marquis de Sade (band),['Anne Linnet'],['Anne Linnet']
202022,Matadorerne,"['Tommy ""P"" Petersen', 'Freddy Andreasen', 'Freddie Kademann', 'Per Stockmar', 'Jan Jerichau', 'Bobby Winson', 'Irving Waldorf', 'Johnny Axkjær', 'Tommy »Bas«\xa0Petersen', 'Ulrik Hansen', 'Frank Sveidahl', 'Johnny Bjørn']","['Tommy P Petersen', 'Freddy Andreasen', 'Freddie Kademann', 'Per Stockmar', 'Jan Jerichau', 'Bobby Winson', 'Irving Waldorf', 'Johnny Axkjær', 'Tommy »Bas«\xa0Petersen', 'Ulrik Hansen', 'Frank Sveidahl', 'Johnny Bjørn']"
143700,The Maxwells,[],[]
452292,Melting Walkmen,[],[]
