pageid,group,cleaned_member,disc_members,all_members
424545,Black City,"['Bjørn Poulsen', 'Kristian Klærke', 'Anders Borre Mathiesen', 'Jakob Bjørn Hansen', 'Torleik Mortensen', 'Mixen Lindberg']",[],"['Anders Borre Mathiesen', 'Bjørn Poulsen', 'Jakob Bjørn Hansen', 'Kristian Klærke', 'Mixen Lindberg', 'Torleik Mortensen']"
435609,Blue Sun,"['Roy Sela', 'Avraham Gindos']",[],"['Avraham Gindos', 'Roy Sela']"
405812,The Blue Van,"['Steffen Westmark', 'Søren Christensen', 'Allan Fjeldgaard Villadsen', 'Per Mølgaard Jørgensen']",[],"['Allan Fjeldgaard Villadsen', 'Per Mølgaard Jørgensen', 'Steffen Westmark', 'Søren Christensen']"
1050262,Blues Power,[],[],[]
421199,Blunt (band),"['Jimmie Tagesen', 'Jakob Barndorff-Nielsen', 'Jacob Lyngsdal', 'Mikkel Govertz', 'Anders Enøe', 'Lasse Enøe', 'Niels Bach Storgaard', 'Hans Peter Mululu', 'Viggo Jørgensen', 'Jesper Friis', 'Günther Bach', 'Martin Robert Madsen', 'Mads Schaarup', 'Feike van der Woude']",[],"['Anders Enøe', 'Feike van der Woude', 'Günther Bach', 'Hans Peter Mululu', 'Jacob Lyngsdal', 'Jakob Barndorff-Nielsen', 'Jesper Friis', 'Jimmie Tagesen', 'Lasse Enøe', 'Mads Schaarup', 'Martin Robert Madsen', 'Mikkel Govertz', 'Niels Bach Storgaard', 'Viggo Jørgensen']"
969259,Boat Man Love,"['Troels Skjærbæk', 'Lars Skjærbæk', 'Søren Koch', 'Johan Lei Gellett']",[],"['Johan Lei Gellett', 'Lars Skjærbæk', 'Søren Koch', 'Troels Skjærbæk']"
409946,Bodies Of Work,['Martin Bjørck'],[],['Martin Bjørck']
299905,Bollocks,"['Yoh (2)', 'Ishitobi', 'Kohichi Konda', 'Akio (8)']",[],"['Akio (8)', 'Ishitobi', 'Kohichi Konda', 'Yoh (2)']"
686358,Bombay Rockers,['Navtej Singh Rehal'],"['Navtej Singh Rehal', 'Thomas Sandorf']","['Navtej Singh Rehal', 'Thomas Sandorf']"
303648,Brats,"['Michael Denner', 'Carsten Van Der Volsing', 'Lars Monroe', 'Eddie Haircut', 'Sniff Høkerberg', 'Franz De Zaster', 'Rene Krolmark', 'Yenz Arnsted']",[],"['Carsten Van Der Volsing', 'Eddie Haircut', 'Franz De Zaster', 'Lars Monroe', 'Michael Denner', 'Rene Krolmark', 'Sniff Høkerberg', 'Yenz Arnsted']"
209815,The Breakers,"['Toke Nisted', 'Anders Bruus', 'Jackie Larsen', 'Mikkel Holtoug', 'Lukas Scherfig', 'Mikkel Hald', 'Daniel Hecht', 'Thomas Stølsvig']",[],"['Anders Bruus', 'Daniel Hecht', 'Jackie Larsen', 'Lukas Scherfig', 'Mikkel Hald', 'Mikkel Holtoug', 'Thomas Stølsvig', 'Toke Nisted']"
395203,The Broken Beats,"['Kim Munk', 'Simon Stadsholt', 'Henrik Lynbech', 'Mads Tønder']",[],"['Henrik Lynbech', 'Kim Munk', 'Mads Tønder', 'Simon Stadsholt']"
418711,The Bronson Brothers,"['Ted Bronson, Clyde Bronson, Malle, Zeu, Mr. Toby Diamonds']","['Clyde Bronson', 'Pat Bronson', 'Kasper Malling']","['Clyde Bronson', 'Kasper Malling', 'Pat Bronson', 'Ted Bronson, Clyde Bronson, Malle, Zeu, Mr. Toby Diamonds']"
653128,Buoyant Blue,"['Lars Lundholm', 'Peter Peter Schneidermann', 'Peter Guldbæk', 'Lars Stabell', 'Ping Schiøler']",[],"['Lars Lundholm', 'Lars Stabell', 'Peter Guldbæk', 'Peter Peter Schneidermann', 'Ping Schiøler']"
501246,Cancer (band),[],[],[]
121899,Carpark North,"['Lau Højen', 'Søren Balsner', 'Morten Thorhauge']",[],"['Lau Højen', 'Morten Thorhauge', 'Søren Balsner']"
448785,Chainsaw Eaters,"['Kim Wolf Andersen', 'Lars Buch Laursen']",[],"['Kim Wolf Andersen', 'Lars Buch Laursen']"
974892,Charlatangruppen,['Thorstein Thomsen'],"['Peter Brander', 'René Wulff', 'Thorstein Thomsen', 'Peter Hansen', 'Steen Svare', 'Pia Dalsgaard', 'Terje Barnholdt']","['Peter Brander', 'Peter Hansen', 'Pia Dalsgaard', 'René Wulff', 'Steen Svare', 'Terje Barnholdt', 'Thorstein Thomsen']"
178662,Christianshavns Bluesband,"['Lone Kellermann', 'Franz Beckerlee', 'Sten Haxø', 'Søren Berlev', 'Peter Mandorf', 'Krølle Erik', 'Pede Meyer']",[],"['Franz Beckerlee', 'Krølle Erik', 'Lone Kellermann', 'Pede Meyer', 'Peter Mandorf', 'Sten Haxø', 'Søren Berlev']"
481670,The City Kill,"['Matthew Moller', 'Bjarke Mønsted', 'Signe Elin Gram', 'Tobias Bendixen']",[],"['Bjarke Mønsted', 'Matthew Moller', 'Signe Elin Gram', 'Tobias Bendixen']"
451774,City-X,"['Gert Oestrich', 'Hanseqrt', 'Lars Grønning']",[],"['Gert Oestrich', 'Hanseqrt', 'Lars Grønning']"
199043,Cola Freaks,"['Mads', 'Morten', 'Jacob', 'Anders', 'Kasper', 'Kristoffer']",[],"['Anders', 'Jacob', 'Kasper', 'Kristoffer', 'Mads', 'Morten']"
402911,The Company,['Rasmus Hedegaard'],"['Andres Romero', 'Wim van Limpt', 'Ruud Wouters']","['Andres Romero', 'Rasmus Hedegaard', 'Ruud Wouters', 'Wim van Limpt']"
82549,Coolsville,"['Rasmus Valldorf', 'Morten Dybdahl', 'Paw Eriksen', 'Jonas Breum']",[],"['Jonas Breum', 'Morten Dybdahl', 'Paw Eriksen', 'Rasmus Valldorf']"
459233,Culpeper's Orchard,"['Nils Tuxen', 'Nils Henriksen', 'Cy Nicklin', 'Ken Gudman', 'Michael Friis', 'Thor Backhausen', 'Tom McEwan', 'Niels Vangkilde', 'Rodger Barker', 'Thomas Puggaard-Müller']",[],"['Cy Nicklin', 'Ken Gudman', 'Michael Friis', 'Niels Vangkilde', 'Nils Henriksen', 'Nils Tuxen', 'Rodger Barker', 'Thomas Puggaard-Müller', 'Thor Backhausen', 'Tom McEwan']"
200537,"Cy, Maia & Robert","['Cy Nicklin', 'Robert Lelievre', 'Maia Aarskov']",[],"['Cy Nicklin', 'Maia Aarskov', 'Robert Lelievre']"
826862,Daisy (band),"['Lars Muhl', 'Frank Lorentzen', 'Eigil Madsen', 'Lars Schrøder', 'Søren Madsen', 'Poul Erik Veigaard', 'Flemming Walsøe Therkelsen', 'Ulf Larsen', 'Erik Falck Johansen', 'Jacob Perbøll']",[],"['Eigil Madsen', 'Erik Falck Johansen', 'Flemming Walsøe Therkelsen', 'Frank Lorentzen', 'Jacob Perbøll', 'Lars Muhl', 'Lars Schrøder', 'Poul Erik Veigaard', 'Søren Madsen', 'Ulf Larsen']"
563081,Dance with Dirt,"['Magnus Fra Ramasjang Jacobsen', 'Kristoffer Veirum', 'Mikkel Frej Eriksen', 'Jonathan Lyby', 'Jess Gertsen']",[],"['Jess Gertsen', 'Jonathan Lyby', 'Kristoffer Veirum', 'Magnus Fra Ramasjang Jacobsen', 'Mikkel Frej Eriksen']"
905768,Day Of Phoenix,"['Erik Stedt', '', 'Hans Lauridsen', '', 'Henrik Friis', '', 'Jess Stæhr', '', 'Karsten Lyng', '']",[],"['', 'Erik Stedt', 'Hans Lauridsen', 'Henrik Friis', 'Jess Stæhr', 'Karsten Lyng']"
948279,De Forbandede,"['Peter Østergaard Christensen', 'Nicolei Martin Aagaard Rasmussen', 'Michael Hansen Buur', 'Ricky Christensen']",[],"['Michael Hansen Buur', 'Nicolei Martin Aagaard Rasmussen', 'Peter Østergaard Christensen', 'Ricky Christensen']"
979006,De Underjordiske,"['Andreas Bengtsen', 'Kristian Bengtsen', 'Peter Kure', 'Thomas Balslev Brandt', 'Anders Colstrup Hvass', 'Christian Vind Skibdal', 'Astrid Samuelsen']",[],"['Anders Colstrup Hvass', 'Andreas Bengtsen', 'Astrid Samuelsen', 'Christian Vind Skibdal', 'Kristian Bengtsen', 'Peter Kure', 'Thomas Balslev Brandt']"
379473,Dead End City,"['Mads Donkin', 'Tue Johansson', 'Nikolaj Kindtler', 'Anton Bak', 'Emil Dinsen']",[],"['Anton Bak', 'Emil Dinsen', 'Mads Donkin', 'Nikolaj Kindtler', 'Tue Johansson']"
263144,Dear,"['Laust Sonne', 'Jesper Elnegaard', 'Kåre Joensen', 'Louise Preisler', 'Johan Stahl', 'Oliver Hoiness', 'Rune Kjeldsen']",[],"['Jesper Elnegaard', 'Johan Stahl', 'Kåre Joensen', 'Laust Sonne', 'Louise Preisler', 'Oliver Hoiness', 'Rune Kjeldsen']"
976878,Death By Kite,"['Gøtzsche Lange', 'Sidsel Marie Hermansen', 'Kristian Kimer', 'Mikkel Holtoug']",[],"['Gøtzsche Lange', 'Kristian Kimer', 'Mikkel Holtoug', 'Sidsel Marie Hermansen']"
668320,Death Valley Sleepers,"['Tobias Winberg', 'Adam Winberg', 'Henrik Heinzz Malm', 'Christian Ki Dall']",[],"['Adam Winberg', 'Christian Ki Dall', 'Henrik Heinzz Malm', 'Tobias Winberg']"
139727,The Defenders,['Alric Forbes'],[],['Alric Forbes']
458130,Delta Blues Band,"['Troels Jensen', 'Knut Henriksen', 'Danny Linde']",[],"['Danny Linde', 'Knut Henriksen', 'Troels Jensen']"
477720,Delta Cross Band,"['Aske Jacoby', 'Ivan Horn', 'Thomas Grue', 'Erik Falck', 'Lars Hybel', 'Nils Henriksen', 'Søren Engel', 'Per Wium', 'René Wulff', 'Thorstein Thomsen', 'Preben Feddersen', 'Troels Jensen', 'Pete Repete', 'Lotte Rømer', 'Carsten Valentin Jørgensen', 'Gert Smedegaard', 'Billy Schwartz', 'Mick Moloney (2)']",[],"['Aske Jacoby', 'Billy Schwartz', 'Carsten Valentin Jørgensen', 'Erik Falck', 'Gert Smedegaard', 'Ivan Horn', 'Lars Hybel', 'Lotte Rømer', 'Mick Moloney (2)', 'Nils Henriksen', 'Per Wium', 'Pete Repete', 'Preben Feddersen', 'René Wulff', 'Søren Engel', 'Thomas Grue', 'Thorstein Thomsen', 'Troels Jensen']"
462520,Diamond Drive,"['Patrick McCaffrey', 'Anders Berg', 'Kalle Herborg', 'Troels Pedersen', 'Nikolaj jensen', 'Jens Moss', 'Christoffer Vengsgaard']",[],"['Anders Berg', 'Christoffer Vengsgaard', 'Jens Moss', 'Kalle Herborg', 'Nikolaj jensen', 'Patrick McCaffrey', 'Troels Pedersen']"
402919,Diefenbach,"['Kenneth Sarup', 'Allan Mattsson', 'Lasse Lyngbo', 'Stefan Gejsing', 'Nicolaj Strøyer Christophersen']",[],"['Allan Mattsson', 'Kenneth Sarup', 'Lasse Lyngbo', 'Nicolaj Strøyer Christophersen', 'Stefan Gejsing']"
147627,Diva (rock),[],[],[]
43911,Dizzy Mizz Lizzy,"['Tim Christensen', 'Søren Friis', 'Martin Nielsen']",[],"['Martin Nielsen', 'Søren Friis', 'Tim Christensen']"
144454,Dream City,"['Claus Pedersen', 'Peter Ingemann', 'Søren Berlev', 'Bo Jacobsen']",[],"['Bo Jacobsen', 'Claus Pedersen', 'Peter Ingemann', 'Søren Berlev']"
217706,Dream Police,"['Johnny Concrete', 'Steen René Christiansen', 'Allan Lauritzen', 'Jan Schriver', 'S.E. Frog', 'Claus Buldermave', 'Günther Paulsen', 'Felix Paulsen', 'Zvika Barash']",[],"['Allan Lauritzen', 'Claus Buldermave', 'Felix Paulsen', 'Günther Paulsen', 'Jan Schriver', 'Johnny Concrete', 'S.E. Frog', 'Steen René Christiansen', 'Zvika Barash']"
117588,Düreforsög,"['Boriz S', 'Nis B', 'Mads H', 'Andreas H', 'Kaspar L', 'Jess W', 'Rune T']",[],"['Andreas H', 'Boriz S', 'Jess W', 'Kaspar L', 'Mads H', 'Nis B', 'Rune T']"
410287,Einstein (rockband),"['Michael Hardinger', 'Bosse Hall Christensen', 'Kim Daugaard', 'Kasper Daugaard', 'Gorm Bull Sarning']",[],"['Bosse Hall Christensen', 'Gorm Bull Sarning', 'Kasper Daugaard', 'Kim Daugaard', 'Michael Hardinger']"
731858,Electric Guitars,"['Mika Vandborg', 'Søren Andersen']",[],"['Mika Vandborg', 'Søren Andersen']"
256322,Elevatordrengene,"['Thomas Helmig', 'Palle Torp', 'Claes Antonsen', 'Jesper Mardahl']",[],"['Claes Antonsen', 'Jesper Mardahl', 'Palle Torp', 'Thomas Helmig']"
