pageid,title
500010,Jimilian
361952,Gry Johansen
270972,Andrew John
466280,Kaspar Jolin
370821,Camille Jones
42398,Peter Jorde
983807,Julie & Nina
905316,Mette Juul
931764,Per Juul
513960,Lecia Jønsson
13227,Flemming Bamse Jørgensen
40617,Jimmy Jørgensen
87063,Johnny Jørgensen
1047624,Jørgen Hein Jørgensen
177670,Jørgen Wenndorf Jørgensen
1128636,Peter Lindeman Jørgensen
158815,Steen Jørgensen (sanger)
537152,Karina Kappel
55595,Lone Kellermann
486346,Marie Key
56303,King Diamond
53835,Birthe Kjær
261191,Laura Arensbak Kjærgaard
994269,Kristian Kjærlund
29634,Povl Kjøller
140204,Ida Klemann
284176,Annette Klingenberg
637532,Grete Klitgaard
428367,Jørgen Klubien
345546,Hans Christian Knudsen
821125,Anthon Edwards Knudtzon
119353,Dorthe Kollo
972901,Michael Kolster
304191,Mattias Kolstrup
93158,Annisette Koppel
196673,Billie Koppel
134609,Marie Carmen Koppel
51436,Søren Kragh-Jacobsen
946475,Michael Kratz
697052,Stig Kreutzfeldt
912969,Sebastian T.W. Kristiansen
428892,Stine Kronborg
96146,Simon Kvamm
426536,Stefan Kvamm
287728,Morten Kærså
1081243,Mette Ladekarl
958667,Alma Lagoni
94837,Susanne Lana
996006,Hjalmer Larsen
31493,Kim Larsen
288332,Lars Oluf Larsen
561586,Line Larsen
1084329,Mona Larsen
964150,Benjamin Lasnier
191606,Randi Laubek
1165787,Ida Laurberg
888453,Frank Lauridsen
330002,Jeppe Laursen
258472,Zindy Laursen
1022273,Cathrine Legardh
265243,Jesper Winge Leisner
303409,Jonas Winge Leisner
149066,Ellen Winther Lembourn
496055,Torben Lendager
1002530,Kenn Lending
514909,Anita Lerche
490842,Hans-Henrik Ley
825776,Rikke Lie
787485,Yrsa Liisberg
53521,Lars Lilholt
3586,Bjarne Liller
183310,Caroline Lind
849683,Mette Lindberg
1061996,Solveig Lindelof
413376,Lasse Lindorff
415727,Mark Linn
